date,IPTG,strain,repressors,epsilon_r,mean_YFP,mean_YFP_bgcorr,fold_change
160621,0.1,delta,0,-13.9,10993.551957227746,8858.94356616465,1.0
160621,0.1,1027,130,-13.9,6600.480586948482,4465.872195885383,0.5041088886650191
160621,0.5,delta,0,-13.9,11035.598868431021,8900.367719601722,1.0
160621,0.5,1027,130,-13.9,9318.113635939091,7182.882487109796,0.8070321039984197
160621,0.005,delta,0,-13.9,10856.942293708353,8747.210661770087,1.0
160621,0.005,1027,130,-13.9,2277.978094624993,168.24646268672814,0.019234298703020118
160621,1.0,delta,0,-13.9,11004.92499530891,8851.706866492535,1.0
160621,1.0,1027,130,-13.9,9525.152466310006,7371.9343374936325,0.8328263066866268
160621,0.075,delta,0,-13.9,11072.926013428838,8945.955075338297,1.0
160621,0.075,1027,130,-13.9,5696.141834211499,3569.17089612096,0.3989703576715077
160621,5.0,delta,0,-13.9,10577.930577358073,8382.104395380926,1.0
160621,5.0,1027,130,-13.9,9298.445551171275,7102.61936919413,0.8473551550023793
160621,0.01,delta,0,-13.9,10785.917185881275,8667.495204159452,1.0
160621,0.01,1027,130,-13.9,2323.2120228827257,204.7900411609021,0.02362736134686584
160621,0.0,delta,0,-13.9,10915.850904546864,8812.816019662454,1.0
160621,0.0,1027,130,-13.9,2189.9811579096186,86.94627302520756,0.00986588995290722
160621,0.025,delta,0,-13.9,10440.031625261689,8326.490785610764,1.0
160621,0.025,1027,130,-13.9,3100.56718142254,987.0263417716161,0.11854049529212513
160621,0.05,delta,0,-13.9,10903.883679631375,8775.913072488045,1.0
160621,0.05,1027,130,-13.9,4663.694970499483,2535.724363356155,0.28894137195883324
160621,0.001,delta,0,-13.9,10805.166975438104,8690.545164841893,1.0
160621,0.001,1027,130,-13.9,2197.33338254897,82.71157195275919,0.00951742041309142
160621,0.0001,delta,0,-13.9,10419.2806974793,8307.198070848759,1.0
160621,0.0001,1027,130,-13.9,2187.019771842739,74.93714521219863,0.009020748581301393
160622,0.5,delta,0,-13.9,9658.667193968315,7460.295623396888,1.0
160622,0.5,1027,130,-13.9,8659.022883942485,6460.651313371059,0.8660047321863816
160622,0.0001,delta,0,-13.9,9962.339717262916,7833.125177474443,1.0
160622,0.0001,1027,130,-13.9,2200.3276432509915,71.11310346251868,0.00907850977117245
160622,0.01,delta,0,-13.9,9847.72663952212,7701.273303068106,1.0
160622,0.01,1027,130,-13.9,2353.8789315941303,207.4255951401133,0.02693393507505793
160622,1.0,delta,0,-13.9,9507.40849344809,7259.195216594709,1.0
160622,1.0,1027,130,-13.9,8917.623021788475,6669.409744935091,0.918753325394618
160622,0.0,delta,0,-13.9,9748.384097646707,7615.449279291726,1.0
160622,0.0,1027,130,-13.9,2219.648421382778,86.71360302779703,0.011386538055422757
160622,0.1,delta,0,-13.9,9939.790316587008,7755.359016000843,1.0
160622,0.1,1027,130,-13.9,6225.383426151091,4040.9521255649247,0.5210528767562712
160622,0.005,delta,0,-13.9,11002.987678898307,8865.987791171028,1.0
160622,0.005,1027,130,-13.9,2275.680440101637,138.68055237435829,0.015641861419261126
160622,5.0,delta,0,-13.9,9240.596484751954,6910.554743922468,1.0
160622,5.0,1027,130,-13.9,8979.309154011715,6649.2674131822305,0.962190107679846
160622,0.075,delta,0,-13.9,9910.215958522991,7749.975210875738,1.0
160622,0.075,1027,130,-13.9,5142.099915908556,2981.8591682613014,0.3847572523944053
160622,0.025,delta,0,-13.9,10083.789075539304,7938.622379250135,1.0
160622,0.025,1027,130,-13.9,3166.126364536675,1020.9596682475074,0.12860665484178688
160622,0.05,delta,0,-13.9,9901.501072882691,7744.329848840686,1.0
160622,0.05,1027,130,-13.9,4229.94608461837,2072.7748605763654,0.26765064260358906
160622,0.001,delta,0,-13.9,9956.586431062995,7823.602893365395,1.0
160622,0.001,1027,130,-13.9,2201.108464774429,68.12492707682804,0.008707615660631194
160627,0.5,delta,0,-15.3,7342.0136226397435,5148.233506212431,1.0
160627,0.5,1027,130,-15.3,4459.907532131498,2266.1274157041835,0.4401757249296525
160627,0.5,446,62,-15.3,5586.494077582405,3392.713961155092,0.6590054544070438
160627,0.5,1147,30,-15.3,5622.851460818721,3429.0713443914074,0.666067562835584
160627,0.5,104,11,-15.3,9159.65654417316,6965.876427745847,1.353061476201506
160627,0.05,delta,0,-15.3,7171.546974410891,5041.282806878746,1.0
160627,0.05,1027,130,-15.3,2759.0666161397507,628.8024486076056,0.12473064350796095
160627,0.05,446,62,-15.3,3162.9094509593115,1032.6452834271665,0.2048378008109641
160627,0.05,1147,30,-15.3,3656.4436582614476,1526.1794907293024,0.30273633699876074
160627,0.05,104,11,-15.3,6191.510367598012,4061.2462000658666,0.805597772559866
160627,0.0,delta,0,-15.3,6762.28810680764,4643.759666482738,1.0
160627,0.0,1027,130,-15.3,2170.841099554985,52.31265923008277,0.011265152158424526
160627,0.0,446,62,-15.3,2167.7071852745844,49.17874494968192,0.01059028642344248
160627,0.0,1147,30,-15.3,2196.2946975337304,77.76625720882794,0.016746400071072032
160627,0.0,104,11,-15.3,2347.450248424097,228.92180809919452,0.04929665282884543
160627,0.001,delta,0,-15.3,6969.338432987359,4841.924629735509,1.0
160627,0.001,446,62,-15.3,2184.511084068357,57.097280816508366,0.011792269641261913
160627,0.001,1147,30,-15.3,2179.935572871556,52.52176961970736,0.010847291859348162
160627,0.001,104,11,-15.3,2352.788738277372,225.37493502552346,0.04654655994466286
160627,0.25,delta,0,-15.3,7367.779303139852,5187.493656167691,1.0
160627,0.25,1027,130,-15.3,4449.0395274961265,2268.753880523965,0.4373506804825719
160627,0.25,446,62,-15.3,5160.4969312369785,2980.211284264819,0.5744992633815531
160627,0.25,1147,30,-15.3,5607.466295033915,3427.1806480617547,0.6606621376754831
160627,0.25,104,11,-15.3,8813.892691878014,6633.607044905853,1.2787691869307252
160627,0.005,delta,0,-15.3,7194.59128412879,5072.857261018012,1.0
160627,0.005,1027,130,-15.3,2212.868650538738,91.13462742795991,0.017965147201810125
160627,0.005,446,62,-15.3,2255.317230433471,133.58320732269252,0.02633293239871
160627,0.005,1147,30,-15.3,2305.202561390762,183.468538279984,0.03616670622487923
160627,0.005,104,11,-15.3,2864.420530234428,742.6865071236493,0.14640398278713018
160627,0.075,delta,0,-15.3,7306.414650552918,5161.599361855593,1.0
160627,0.075,1027,130,-15.3,3182.568161427535,1037.75287273021,0.20105258079486787
160627,0.075,446,62,-15.3,3809.12412376969,1664.3088350723654,0.32244053023015856
160627,0.075,1147,30,-15.3,4261.9531398932095,2117.137851195884,0.4101708991289812
160627,0.075,104,11,-15.3,7051.264739056313,4906.449450358989,0.9505676644758266
160627,5.0,delta,0,-15.3,7349.489131364659,4937.136477101573,1.0
160627,5.0,1027,130,-15.3,4415.219444563433,2002.866790300347,0.4056737745836353
160627,5.0,446,62,-15.3,5738.140038185685,3325.787383922598,0.6736267873792009
160627,5.0,1147,30,-15.3,6203.025910528885,3790.673256265799,0.7677878207027357
160627,5.0,104,11,-15.3,9260.62716381603,6848.274509552944,1.3870944304082389
160627,1.0,delta,0,-15.3,7496.3376741559705,5223.080985905169,1.0
160627,1.0,1027,130,-15.3,4948.364153609227,2675.107465358425,0.512170397621132
160627,1.0,446,62,-15.3,5333.974926744858,3060.718238494055,0.5859986178184116
160627,1.0,1147,30,-15.3,6410.247491624865,4136.990803374061,0.7920594787900104
160627,1.0,104,11,-15.3,9175.632021251478,6902.375333000677,1.3215141315302583
160627,0.01,delta,0,-15.3,7214.876241739869,5077.016066235136,1.0
160627,0.01,1027,130,-15.3,2231.1422813829945,93.2821058782615,0.018373411598721787
160627,0.01,446,62,-15.3,2273.8836714908803,136.02349598614728,0.026792016060531314
160627,0.01,1147,30,-15.3,2345.9169579753025,208.0567824705695,0.04098013080050268
160627,0.01,104,11,-15.3,3102.410524562335,964.5503490576024,0.18998371020969906
160627,0.025,delta,0,-15.3,7266.636055373433,5115.581162742918,1.0
160627,0.025,1027,130,-15.3,2416.3546296898066,265.2997370592916,0.05186111384401158
160627,0.025,446,62,-15.3,2603.080573299899,452.02568066938375,0.08836252740187442
160627,0.025,1147,30,-15.3,2776.8668383180825,625.811945687567,0.1223344769203141
160627,0.025,104,11,-15.3,4668.765520699941,2517.710628069425,0.49216512219687997
160627,0.1,delta,0,-15.3,7491.190005110818,5349.576748666437,1.0
160627,0.1,1027,130,-15.3,3473.3250096277507,1331.711753183371,0.24893777877200196
160627,0.1,446,62,-15.3,4069.121946004027,1927.5086895596476,0.3603105030767423
160627,0.1,1147,30,-15.3,4619.988909492926,2478.3756530485457,0.4632844371596995
160627,0.1,104,11,-15.3,8004.224300439492,5862.611043995113,1.0959018478343292
160628,0.075,delta,0,-13.9,11353.458084031172,9195.059429459005,1.0
160628,0.075,1L,870,-13.9,3441.6490875312325,1283.2504329590647,0.13955868831557572
160628,0.075,rbs1,610,-13.9,3462.043242567476,1303.644587995308,0.141776635376462
160628,0.075,1027,130,-13.9,5733.503063376864,3575.104408804696,0.3888071019259349
160628,0.075,446,62,-13.9,7145.182449628465,4986.783795056297,0.5423329597065689
160628,0.075,1147,30,-13.9,7919.643315422235,5761.244660850067,0.6265587193914453
160628,0.075,104,11,-13.9,10765.187225435748,8606.788570863579,0.9360231586202988
160628,0.0,delta,0,-13.9,10053.979111929113,7904.18367407338,1.0
160628,0.0,1L,870,-13.9,2174.238316354925,24.44287849919237,0.003092397584252476
160628,0.0,rbs1,610,-13.9,2164.0543773901454,14.258939534412546,0.0018039737084024868
160628,0.0,1027,130,-13.9,2203.013631126841,53.21819327110825,0.006732914550767585
160628,0.0,446,62,-13.9,2257.844544575585,108.04910671985179,0.013669862844187836
160628,0.0,1147,30,-13.9,2364.982380243912,215.18694238817898,0.02722443597736937
160628,0.0,104,11,-13.9,3128.7467485464504,978.951310690717,0.12385229785357706
160628,1.0,delta,0,-13.9,12360.202879706809,10205.56948414092,1.0
160628,1.0,1L,870,-13.9,7119.729220992288,4965.095825426402,0.4865084533638204
160628,1.0,rbs1,610,-13.9,8606.80919913843,6452.1758035725425,0.6322210449499156
160628,1.0,446,62,-13.9,9499.515540329458,7344.882144763571,0.7196935120746811
160628,1.0,1147,30,-13.9,11368.013684549278,9213.380288983391,0.902779634522174
160628,1.0,104,11,-13.9,10371.040376250154,8216.406980684267,0.8050904943082561
160628,0.1,delta,0,-13.9,11911.98270186846,9785.238381801546,1.0
160628,0.1,1L,870,-13.9,3965.725822845121,1838.9815027782058,0.18793425678809408
160628,0.1,rbs1,610,-13.9,3914.650016108205,1787.90569604129,0.18271457743598896
160628,0.1,1027,130,-13.9,6782.237717886159,4655.493397819244,0.4757669886180256
160628,0.1,446,62,-13.9,8240.457909542842,6113.713589475927,0.6247894380218808
160628,0.1,1147,30,-13.9,9268.113101577155,7141.368781510242,0.7298104044957825
160628,0.1,104,11,-13.9,10251.765493918858,8125.021173851944,0.8303345158113621
160628,0.005,delta,0,-13.9,10819.669696362618,8674.100710977364,1.0
160628,0.005,1L,870,-13.9,2203.5971213979847,58.02813601273238,0.006689815802956475
160628,0.005,rbs1,610,-13.9,2194.49306066511,48.92407527985779,0.005640247549575108
160628,0.005,1027,130,-13.9,2332.5742106096245,187.00522522437225,0.021559033201875417
160628,0.005,446,62,-13.9,2442.6078318699733,297.0388464847211,0.03424433914040315
160628,0.005,1147,30,-13.9,2716.1521221326802,570.5831367474275,0.06578009130391296
160628,0.005,104,11,-13.9,5017.991389546858,2872.4224041616053,0.3311493029503864
160628,0.5,delta,0,-13.9,12219.25352473705,10073.909560487691,1.0
160628,0.5,1L,870,-13.9,6954.965196555287,4809.621232305924,0.4774334337058596
