ep_ai,log_ka,log_ki
-10.,-8.655204424536132,-12.029737021446847
-6.,-8.655487914567653,-12.03115185433309
-2.,-8.669608040969484,-12.103323261376946
2.,-8.814421439702937,-13.205275934203277
6.,-8.890625169189777,-15.196739406033826
10.,-8.90194180542588,-17.203504252788033
