# Date : 2016-07-25
# Equipment : MACSQuant (Bjorkman lab)
# Description : 
# LacI titration with 4 different operators (O1, O2, O3 and Oid) 
# and 7 different RBS (delta, HG104, RBS1147, RBS446, RBS1027, RBS1 and RBS1L)
# The strains were grown in deep 96-well plates in 1 mL of LB + Kan + Spec and then
# diluted next morning 1:1000 into 0.5 mL of M9 + 0.5% glucose also in deep 96-well plates.
# Because of this format we were able to have 3 biological replicas for each of the strains.
# The files are named 20160725_rbs_operator_0mMIPTG_0X where X is the number of replica
# indexing from 0.
# Comments : 
# The machine ran out of space for waste during the middle of the measurement so the actual
# reading took much longer than it should have. The 96-well plate was on the "chill 96-well"
# holder which remained cold but this could definitely have affected the last measurements.
date,username,operator,binding_energy,rbs,repressors,IPTG,replica,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20160725,mrazomej,O1,-15.3,auto,0,0,00,3625.2550753425003,0.0,0.0
20160725,mrazomej,O1,-15.3,auto,0,0,01,3487.341237843697,0.0,0.0
20160725,mrazomej,O1,-15.3,auto,0,0,02,3437.5491422265527,0.0,0.0
20160725,mrazomej,O1,-15.3,delta,0,0,00,15341.253242487111,11715.998167144611,1.0
20160725,mrazomej,O1,-15.3,delta,0,0,01,13982.480025897854,10495.138788054157,1.0
20160725,mrazomej,O1,-15.3,delta,0,0,02,12916.124628720067,9478.575486493513,1.0
20160725,mrazomej,O1,-15.3,RBS1L,870,0,00,3729.220393848974,103.96531850647352,0.008873790950055402
20160725,mrazomej,O1,-15.3,RBS1L,870,0,01,3581.6138943329233,94.27265648922639,0.008982506891336207
20160725,mrazomej,O1,-15.3,RBS1L,870,0,02,3524.8230548974047,87.27391267085204,0.009207492496653417
20160725,mrazomej,O1,-15.3,RBS1,610,0,00,3732.915773450665,107.66069810816452,0.00918920407567828
20160725,mrazomej,O1,-15.3,RBS1,610,0,01,3574.657067207826,87.31582936412906,0.008319645040188913
20160725,mrazomej,O1,-15.3,RBS1,610,0,02,3526.103737694327,88.5545954677741,0.00934260592152902
