data_set,IPTG_mM,fold_change
tetramer,0.0001,0.031736527
tetramer,0.00050025,0.037125749
tetramer,0.001,0.040718563
tetramer,0.004909722,0.143113772
tetramer,0.009814539,0.319161677
tetramer,0.049097221,0.495209581
tetramer,0.098145393,0.611976048
tetramer,0.500249879,0.640718563
tetramer,1,0.660479042
tetramer,5.002498785,0.689221557
tetramer,10,0.741317365
dimer_n2,0.0001,0.020958084
dimer_n2,0.000490972,0.026347305
dimer_n2,0.001,0.02994012
dimer_n2,0.004909722,0.101796407
dimer_n2,0.009814539,0.20239521
dimer_n2,0.049097221,0.44491018
dimer_n2,0.1,0.57245509
dimer_n2,0.49097221,0.669461078
dimer_n2,1,0.703592814
dimer_n2,5.002498785,0.732335329
dimer_n2,10,0.762874251
dimer_n1,9.81454E-05,0.020958084
dimer_n1,0.000490972,0.026347305
dimer_n1,0.000981454,0.028143713
dimer_n1,0.004909722,0.040718563
dimer_n1,0.009814539,0.053293413
dimer_n1,0.049097221,0.085628743
dimer_n1,0.098145393,0.105389222
dimer_n1,0.49097221,0.15748503
dimer_n1,1,0.171856287
dimer_n1,5.002498785,0.189820359
dimer_n1,10,0.193413174
dimer_n0,9.81454E-05,0.008383234
dimer_n0,0.000490972,0.006586826
dimer_n0,0.000981454,0.008383234
dimer_n0,0.004909722,0.006586826
dimer_n0,0.009814539,0.008383234
dimer_n0,0.049097221,0.008383234
dimer_n0,0.098145393,0.008383234
dimer_n0,0.500249879,0.010179641
dimer_n0,1,0.010179641
dimer_n0,5.002498785,0.031736527
dimer_n0,10,0.022754491
