operator,repressors,param,mode,hpd_min,hpd_max
O1,0,kd,5501.216868188999,4.546615147502624e-05,18670.43076083837
O1,0,a,0.5089167530543337,0.33124433939094394,0.5583632668335021
O1,0,b,0.517574291883554,2.1808507736853994e-05,0.8847915589348606
O1,0,n,51.63357049659608,0.001838488924343231,93.06936092139384
O1,22,kd,40.01658746630038,35.63243673294566,44.82429377719926
O1,22,a,0.055359632406319914,0.02434115735020104,0.07963623733192843
O1,22,b,0.9683335559738679,0.942908631018169,0.9999940178247958
O1,22,n,1.6256669616288257,1.376789527691134,1.845700931233551
O1,60,kd,80.8062616863192,74.95327624686237,87.79760594448744
O1,60,a,0.016118127839515578,1.8102759018749574e-07,0.02567478766077272
O1,60,b,0.910586259326976,0.8871440072473326,0.9498597889526985
O1,60,n,1.4690249767824362,1.2825824356226807,1.6123421118492716
O1,124,kd,103.71268715086174,95.48316803111462,112.13941230119829
O1,124,a,0.011110260610568454,7.510936110043646e-07,0.020153412809934736
O1,124,b,0.836309831668905,0.8135978394657707,0.8683347036204703
O1,124,n,1.4721835092059816,1.3117553507255726,1.616617597822852
O1,260,kd,140.3036970887188,127.6754431121294,156.35523599768928
O1,260,a,0.011157234643936826,1.6977481810091595e-07,0.020806732681010097
O1,260,b,0.7288721514329741,0.7007892056361938,0.761930580949075
O1,260,n,1.4898150266197712,1.3053863011351738,1.6578748274370378
O1,1220,kd,190.7847109056841,164.0065512108694,216.64987007571438
O1,1220,a,0.0078536952491703,2.412593510616541e-05,0.014365977070595367
O1,1220,b,0.4432205657979802,0.4210390276835802,0.4720897720854118
O1,1220,n,1.410335524470599,1.2054444428413278,1.6166519674175917
O1,1740,kd,199.5413989983027,164.57252733438028,236.29605964753705
O1,1740,a,0.01074975653292852,9.481026746466039e-07,0.0186138061787665
O1,1740,b,0.42374988677441494,0.3954584167686804,0.4597325120231322
O1,1740,n,1.4788690722142273,1.1817816563532964,1.759633769275111
O2,0,kd,5528.777780603476,4.596887752149338e-05,18788.234306422408
O2,0,a,0.4955398407627295,0.3514560943203495,0.5700018712198176
O2,0,b,0.5524278285151256,1.077741713394694e-05,0.8916064899456526
O2,0,n,53.38249555202105,0.057023541146133776,92.71689669417049
O2,22,kd,8.982862063840859,8.0639863217709,9.896312099891402
O2,22,a,0.1698163672937094,0.1391759412319802,0.19631613875284593
O2,22,b,0.8317987876942147,0.8011210918649123,0.8716712434449743
O2,22,n,1.7250890461075017,1.4281229143842693,2.015185304209782
O2,60,kd,27.92029224251065,24.79275723054912,30.792791817959536
O2,60,a,0.061756864671423176,0.029310823230549007,0.0859689305954439
O2,60,b,0.8963527474987014,0.8601662748690622,0.9386180983322115
O2,60,n,1.6071851755916522,1.3826791239638818,1.8176084563008934
O2,124,kd,34.691128409737516,32.054901140299656,37.498295730746
O2,124,a,0.03543417731269461,0.00910192961616918,0.05117703528181231
O2,124,b,0.9088472203517093,0.8861507301536438,0.9474434461745074
O2,124,n,1.5989829777269573,1.4154420570211608,1.7494424457028293
O2,260,kd,50.29693804282253,47.064192945867006,53.90649042561789
O2,260,a,0.022456024995092385,0.00017123696716993598,0.034925278719889055
O2,260,b,0.8800472486403106,0.8588790100156687,0.9144581607305275
O2,260,n,1.681836896349757,1.4811769254531209,1.8326347743608793
O2,1220,kd,114.37170304077767,104.24755716844064,123.81423529410047
O2,1220,a,0.012802095863238827,1.0999368337191427e-05,0.021868058439715024
O2,1220,b,0.7226786508140075,0.6968238683174663,0.7516860749799531
O2,1220,n,1.585617244407606,1.4056936116633227,1.783495885763127
O2,1740,kd,157.5621314609087,137.11772729002266,177.68361371932883
O2,1740,a,0.013942969952806238,9.495794184913222e-06,0.023382678853928408
O2,1740,b,0.7228043724015093,0.6902399747686753,0.7669419432604206
O2,1740,n,1.4951063850897002,1.2768489879149085,1.7102268210068403
O3,0,kd,1084.7344856795994,4.5593221568926816e-05,16910.490164937382
O3,0,a,0.49785504520886575,0.352803355808032,0.5799802161406753
O3,0,b,0.4262893954794984,5.134939145260489e-06,0.9223020710574604
O3,0,n,47.70237140119487,0.023433053738077633,94.06106861465243
O3,22,kd,0.9911330371423456,4.704755380866631e-05,4.377443999653812
O3,22,a,0.931632086224599,0.9045643844677416,0.9683822901123348
O3,22,b,0.059995465806991694,0.01638104110951682,0.08814569287062078
O3,22,n,50.956477606366846,0.046412503139633805,87.55384220519973
O3,60,kd,2.28044454383441,0.6383424231670854,5.474056045956651
O3,60,a,0.8466277067495757,0.8246701552263169,0.886721051928323
O3,60,b,0.15544558841976658,0.10033187930422904,0.1887269027355103
O3,60,n,0.9193123581640754,0.29308213245470155,83.69257866343011
O3,124,kd,2.8886561904988826,1.0044991052247312,5.0306831403984
