# Date : 2017-10-11
# Equipment : Björkman MACSQuant
# User : gchure
# Description :
# Timecourse measurement of expression to determine if we are in steady-state.
# Auto (HG104), O2 Delta (O2 HG105), and O2 RBS1027 cells were diluted 1:1000
# into M9 + 0.5% glucose + 50µM IPTG in a large 2mL 96 well plate and allowed t
# to grow for several hours with measurement on the MACSQuant. The dilution was
# performed at 08h30m and the first measurement was made at 10h30m, followed
# by a measurement each hour afterward.
date,username,operator,strain,repressors,IPTG_uM,replicate_no,clock_time,delta_t,FITC-A,fold_change_A
20171011,gchure,O2,RBS1027,130,50.0,1,10h24m,1.90,6926.978694370308,0.24342613478042716
20171011,gchure,O2,auto,0,50.0,1,10h24m,1.90,3480.8607268816536,0.0
20171011,gchure,O2,delta,0,50.0,1,10h24m,1.90,17637.59032617915,1.0
20171011,gchure,O2,delta,0,50.0,2,10h24m,1.90,17366.534216662214,1.0
20171011,gchure,O2,RBS1027,130,50.0,2,10h24m,1.90,6942.6924956823605,0.24957396013313826
20171011,gchure,O2,auto,0,50.0,2,10h24m,1.90,3475.9691680010305,0.0
20171011,gchure,O2,delta,0,50.0,3,10h24m,1.90,17539.390894495886,1.0
20171011,gchure,O2,auto,0,50.0,3,10h24m,1.90,3553.4073565216822,0.0
20171011,gchure,O2,RBS1027,130,50.0,3,10h24m,1.90,6950.694347202853,0.24290654864972408
20171011,gchure,O2,auto,0,50.0,1,18h30m,10.00,3183.5299805033283,0.0
20171011,gchure,O2,RBS1027,130,50.0,1,18h30m,10.00,8973.39066867331,0.4100542260465466
20171011,gchure,O2,delta,0,50.0,1,18h30m,10.00,17303.273956786004,1.0
20171011,gchure,O2,delta,0,50.0,2,18h30m,10.00,19855.551070362664,1.0
20171011,gchure,O2,auto,0,50.0,2,18h30m,10.00,6809.428059893334,0.0
20171011,gchure,O2,RBS1027,130,50.0,2,18h30m,10.00,9132.336438609336,0.17805353949613237
20171011,gchure,O2,RBS1027,130,50.0,3,18h30m,10.00,9117.660899231381,0.37038072337714906
20171011,gchure,O2,auto,0,50.0,3,18h30m,10.00,2930.0602751710917,0.0
20171011,gchure,O2,delta,0,50.0,3,18h30m,10.00,19636.114973810512,1.0
20171011,gchure,O2,auto,0,50.0,1,19h30m,11.00,2956.2267470144816,0.0
20171011,gchure,O2,RBS1027,130,50.0,1,19h30m,11.00,9142.093500729965,0.36312839550079945
20171011,gchure,O2,delta,0,50.0,1,19h30m,11.00,19991.156624047093,1.0
20171011,gchure,O2,delta,0,50.0,2,19h30m,11.00,19736.748245098857,1.0
20171011,gchure,O2,auto,0,50.0,2,19h30m,11.00,2953.2495796094736,0.0
