# Date : 2016-10-15
# Equipment : MACSQuant (Bjorkman lab)
# User : nbellive
# Description : 
# IPTG titration with all the rbs1027 strains (O1 and O2 wt and wt_diemr)
# The strains were grown in deep 96-well plates in 1 mL of LB + spec. Then they were
# diluted next morning 1:1000 into 0.5 mL of M9 + 0.5% glucose also in deep 96-well plates with the following
# IPTG concentrations:
# 0uM, 0.1uM, 5uM, 10uM, 25uM, 50uM, 75uM, 100uM, 250uM, 500uM, 1000uM, 5000uM
# Comments :
# The flow rate at the cytometer was very high (25-20k/sec) so I switched to low flow rate which put it down to around 5000/secdate,username,operator,binding_energy,rbs,repressors,IPTG_uM,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20161015,nbellive,O2,-13.9,auto,0,0.0,3193.31884014,0.0,0.0
20161015,nbellive,O2,-13.9,delta,0,0.0,17865.3808217,14672.0619815,1.0
20161015,nbellive,O2,-13.9,RBS1027dimer,870,0.0,4062.17243838,868.85359824,0.0592182339015
20161015,nbellive,O2,-13.9,RBS1027,610,0.0,3502.92889525,309.610055105,0.0211020138474
20161015,nbellive,O2,-13.9,auto,0,0.1,3067.08189992,0.0,0.0
20161015,nbellive,O2,-13.9,delta,0,0.1,20070.5005318,17003.4186319,1.0
20161015,nbellive,O2,-13.9,RBS1027dimer,870,0.1,3803.71326055,736.631360633,0.0433225445178
20161015,nbellive,O2,-13.9,RBS1027,610,0.1,3280.4288472,213.34694728,0.012547297217
20161015,nbellive,O2,-13.9,auto,0,5.0,2988.10589901,0.0,0.0
20161015,nbellive,O2,-13.9,delta,0,5.0,17702.5272097,14714.4213107,1.0
20161015,nbellive,O2,-13.9,RBS1027dimer,870,5.0,4299.58399011,1311.47809111,0.0891287576599
20161015,nbellive,O2,-13.9,RBS1027,610,5.0,3757.64654282,769.540643817,0.052298396761
20161015,nbellive,O2,-13.9,auto,0,10.0,3029.68380991,0.0,0.0
20161015,nbellive,O2,-13.9,delta,0,10.0,18227.2293096,15197.5454997,1.0
20161015,nbellive,O2,-13.9,RBS1027dimer,870,10.0,5900.0126354,2870.32882549,0.188867921175
20161015,nbellive,O2,-13.9,RBS1027,610,10.0,4274.66486819,1244.98105829,0.0819198770164
20161015,nbellive,O2,-13.9,auto,0,25.0,2944.28154666,0.0,0.0
20161015,nbellive,O2,-13.9,delta,0,25.0,15006.4648012,12062.1832545,1.0
20161015,nbellive,O2,-13.9,RBS1027dimer,870,25.0,6466.15790549,3521.87635883,0.291976691493
20161015,nbellive,O2,-13.9,RBS1027,610,25.0,5285.43527695,2341.15373029,0.1940903799
20161015,nbellive,O2,-13.9,auto,0,50.0,2889.4869375,0.0,0.0
20161015,nbellive,O2,-13.9,delta,0,50.0,13438.0491964,10548.5622589,1.0
20161015,nbellive,O2,-13.9,RBS1027dimer,870,50.0,7347.59091939,4458.1039819,0.42262669286
20161015,nbellive,O2,-13.9,RBS1027,610,50.0,7717.88728114,4828.40034364,0.457730657993
20161015,nbellive,O2,-13.9,auto,0,75.0,2938.36266254,0.0,0.0
20161015,nbellive,O2,-13.9,delta,0,75.0,13971.4676197,11033.1049571,1.0
20161015,nbellive,O2,-13.9,RBS1027dimer,870,75.0,10198.9448959,7260.58223339,0.658072433971
20161015,nbellive,O2,-13.9,RBS1027,610,75.0,9621.06387057,6682.70120803,0.605695426084
20161015,nbellive,O2,-13.9,auto,0,100.0,2900.03771847,0.0,0.0
20161015,nbellive,O2,-13.9,delta,0,100.0,11200.0927167,8300.05499828,1.0
20161015,nbellive,O2,-13.9,RBS1027dimer,870,100.0,10293.6339796,7393.59626113,0.890788827624
20161015,nbellive,O2,-13.9,RBS1027,610,100.0,8821.95407182,5921.91635335,0.713479170268
20161015,nbellive,O2,-13.9,auto,0,250.0,2901.04757742,0.0,0.0
20161015,nbellive,O2,-13.9,delta,0,250.0,15188.3221399,12287.2745624,1.0
20161015,nbellive,O2,-13.9,RBS1027dimer,870,250.0,13823.1660427,10922.1184653,0.888896753285
20161015,nbellive,O2,-13.9,RBS1027,610,250.0,11114.0070776,8212.95950018,0.668411815691
20161015,nbellive,O2,-13.9,auto,0,500.0,2895.93131503,0.0,0.0
20161015,nbellive,O2,-13.9,delta,0,500.0,11064.9142495,8168.98293451,1.0
20161015,nbellive,O2,-13.9,RBS1027dimer,870,500.0,11905.5794629,9009.64814788,1.10290940991
20161015,nbellive,O2,-13.9,RBS1027,610,500.0,9686.79788523,6790.8665702,0.831298905218
20161015,nbellive,O2,-13.9,auto,0,1000.0,3002.81333021,0.0,0.0
20161015,nbellive,O2,-13.9,delta,0,1000.0,13497.439195,10494.6258648,1.0
20161015,nbellive,O2,-13.9,RBS1027dimer,870,1000.0,14226.8828306,11224.0695004,1.06950639738
20161015,nbellive,O2,-13.9,RBS1027,610,1000.0,9932.81234158,6929.99901136,0.660337881566
20161015,nbellive,O2,-13.9,auto,0,5000.0,2871.27326917,0.0,0.0
20161015,nbellive,O2,-13.9,delta,0,5000.0,9802.78754278,6931.51427361,1.0
20161015,nbellive,O2,-13.9,RBS1027dimer,870,5000.0,10281.2225852,7409.94931598,1.06902316341
20161015,nbellive,O2,-13.9,RBS1027,610,5000.0,11430.877849,8559.60457978,1.234882342
