inoculation_time,clock_time,delta_t_min,replicate_number,strain,OD_600,flow_measured,dilution_factor
08h20m,09h19m,61,1,Auto,0,FALSE,1
08h20m,09h19m,61,2,Auto,0,FALSE,1
08h20m,09h19m,61,3,Auto,0,FALSE,1
08h20m,09h20m,61,1,Delta,0.01,FALSE,1
08h20m,09h20m,61,2,Delta,0.01,FALSE,1
08h20m,09h20m,61,3,Delta,0.01,FALSE,1
08h20m,09h20m,61,1,RBS1027,0,FALSE,1
08h20m,09h21m,61,2,RBS1027,0,FALSE,1
08h20m,09h21m,61,3,RBS1027,0,FALSE,1
08h20m,10h18m,119,1,Auto,0.01,TRUE,1
08h20m,10h19m,120,2,Auto,0.01,TRUE,1
08h20m,10h20m,121,3,Auto,0,TRUE,1
08h20m,10h21m,122,1,Delta,0.01,TRUE,1
08h20m,10h21m,122,2,Delta,0,TRUE,1
08h20m,10h22m,123,3,Delta,0,TRUE,1
08h20m,10h23m,123,1,RBS1027,0,TRUE,1
08h20m,10h23m,123,2,RBS1027,0,TRUE,1
08h20m,10h24m,124,3,RBS1027,0,TRUE,1
08h20m,11h21m,181,1,auto,0.01,TRUE,1
08h20m,11h22m,182,2,auto,0.01,TRUE,1
08h20m,11h23m,183,3,auto,0.01,TRUE,1
08h20m,1h24m,184,1,delta,0.01,TRUE,1
08h20m,11h25m,185,2,delta,0.01,TRUE,1
08h20m,11h25m,185,3,delta,0.02,TRUE,1
08h20m,11h26m,186,1,RBS1027,0.01,TRUE,1
08h20m,11h28m,188,2,RBS1027,0.01,TRUE,1
08h20m,11h29m,189,3,RBS1027,0.02,TRUE,1
08h20m,12h20m,240,1,auto,0.01,TRUE,1
08h20m,12h21m,241,2,auto,0.04,TRUE,1
08h20m,12h22m,242,3,auto,0.01,TRUE,1
08h20m,12h23m,243,1,delta,0.03,TRUE,1
08h20m,Q2h23m,243,2,delta,0.02,TRUE,1
08h20m,12h24m,244,3,delta,0.02,TRUE,1
08h20m,12h25m,245,1,RBS1027,0.03,TRUE,1
08h20m,12h26m,246,2,RBS1027,0.02,TRUE,1
08h20m,12h26m,246,3,RBS1027,0.01,TRUE,1
08h20m,13h22m,302,1,auto,0.04,FALSE,1
08h20m,13h24m,304,2,auto,0.03,FALSE,1
08h20m,13h25m,305,3,auto,0.03,FALSE,1
08h20m,13h26m,306,1,delta,0,FALSE,1
08h20m,13h26m,306,2,delta,0.03,FALSE,1
08h20m,13h26m,306,3,delta,0.02,FALSE,1
08h20m,13h27m,307,1,RBS1027,0.02,FALSE,1
08h20m,13h28m,308,2,RBS1027,0.03,FALSE,1
08h20m,13h28m,308,3,RBS1027,0.03,FALSE,1
08h20m,14h21m,361,1,auto,0.03,TRUE,1
08h20m,14h22m,362,2,auto,0.05,TRUE,1
08h20m,14h23m,363,3,auto,0.05,TRUE,1
08h20m,14h23m,363,1,delta,0.03,TRUE,1
08h20m,14h24m,364,2,delta,0.05,TRUE,1
08h20m,14h25m,365,3,delta,0.04,TRUE,1
08h20m,14h26m,366,1,RBS1027,0.05,TRUE,1
08h20m,14h26m,366,2,RBS1027,0.06,TRUE,1
08h20m,14h27m,367,3,RBS1027,0.04,TRUE,1
08h20m,15h21m,421,1,auto,0.1,TRUE,1.5
08h20m,15h22m,422,2,auto,0.13,TRUE,1.5
08h20m,15h23m,423,3,auto,0.15,TRUE,1.5
08h20m,15h24m,424,1,delta,0.08,TRUE,1.5
08h20m,15h25m,425,2,delta,0.06,TRUE,1.5
08h20m,15h26m,426,3,delta,0.06,TRUE,1.5
08h20m,15h26m,426,1,RBS1027,0.11,TRUE,1.5
08h20m,15h27m,427,2,RBS1027,0.19,TRUE,1.5
08h20m,15h28m,428,3,RBS1027,0.11,TRUE,1.5
08h20m,16h30m,481,1,auto,0.27,TRUE,1
08h20m,16h31m,482,2,auto,0.31,TRUE,1
08h20m,16h32m,483,3,auto,0.3,TRUE,1
08h20m,16h33m,484,1,delta,0.25,TRUE,1
08h20m,16h34m,485,2,delta,0.17,TRUE,1
08h20m,16h35m,486,3,delta,0.15,TRUE,1
08h20m,16h35m,486,1,RBS1027,0.23,TRUE,1
08h20m,16h36m,487,2,RBS1027,0.29,TRUE,1
08h20m,16h36m,487,3,RBS1027,0.26,TRUE,1
08h20m,17h32m,542,1,auto,0.11,TRUE,5
08h20m,17h33m,543,2,auto,0.13,TRUE,5
08h20m,17h34m,544,3,auto,0.13,TRUE,5
08h20m,17h35m,545,1,delta,0.12,TRUE,5
08h20m,17h36m,546,2,delta,0.17,TRUE,5
08h20m,17h37m,547,3,delta,0.11,TRUE,5
08h20m,17h38m,548,1,RBS1027,0.11,TRUE,5
08h20m,17h39m,549,2,RBS1027,0.09,TRUE,5
08h20m,17h40m,550,3,RBS1027,0.1,TRUE,5
08h20m,18h29m,599,1,auto,0.08,TRUE,10
08h20m,18h30m,600,2,auto,0.05,TRUE,10
08h20m,18h31m,601,3,auto,0.06,TRUE,10
08h20m,18h32m,602,1,delta,0.05,TRUE,10
08h20m,18h33m,603,2,delta,0.06,TRUE,10
