# Date : 2016-09-02
# Equipment : MACSQuant (Bjorkman lab)
# User : sbarnes
# Description : 
# IPTG titration with all the O3+11 YFP strains RBS (delta, HG104, RBS1147, RBS446, RBS1027, RBS1 and RBS1L)
# The strains were grown in deep 96-well plates in 1 mL of LB + spec. Then they were
# diluted next morning 1:1000 into 0.5 mL of M9 + 0.5% glucose also in deep 96-well plates with the following
# IPTG concentrations:
# 0uM, 0.1uM, 1uM, 5uM, 10uM, 25uM, 50uM, 75uM, 100uM, 250uM, 500uM, 1000uM
# Comments :
# The flow rate ranged from 2000/s to 5000/s
# IPTG concentrations were organized with 1000 uM at the left and 0 uM at the right. 
# I had a mistake of not loading the proper parameters in the equipment for the first well.
# For some reason after stoping the machine and re-running that well it wasn't able to get any viable data.
# Therefore the analysis was performed using the 500uM auto measurement for the 1000uM strains.

date,username,operator,binding_energy,rbs,repressors,IPTG_uM,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20160902,mrazomej,O3,-9.7,auto,0,0.0,3051.2776661968974,0.0,0.0
20160902,mrazomej,O3,-9.7,delta,0,0.0,29432.30635693416,26381.028690737265,1.0
20160902,mrazomej,O3,-9.7,RBS1L,870,0.0,8405.467556274194,5354.189890077297,0.20295606941048608
20160902,mrazomej,O3,-9.7,RBS1,610,0.0,9552.470185017759,6501.192518820862,0.24643438264041304
20160902,mrazomej,O3,-9.7,RBS1027,130,0.0,20053.55499512146,17002.277328924563,0.6444887926183975
20160902,mrazomej,O3,-9.7,RBS446,62,0.0,24616.304989639895,21565.027323443,0.8174445195541131
20160902,mrazomej,O3,-9.7,RBS1147,30,0.0,25735.115664000452,22683.837997803555,0.8598541877848819
20160902,mrazomej,O3,-9.7,HG104,11,0.0,28057.59784530155,25006.320179104652,0.9478902613029911
20160902,mrazomej,O3,-9.7,auto,0,0.1,3080.7839217056817,0.0,0.0
20160902,mrazomej,O3,-9.7,delta,0,0.1,30120.892386680385,27040.108464974703,1.0
20160902,mrazomej,O3,-9.7,RBS1L,870,0.1,8434.857471175186,5354.0735494695045,0.1980048843518762
20160902,mrazomej,O3,-9.7,RBS1,610,0.1,9627.702076195417,6546.918154489736,0.24211878302818268
20160902,mrazomej,O3,-9.7,RBS1027,130,0.1,20434.257661868607,17353.473740162925,0.6417679042464285
20160902,mrazomej,O3,-9.7,RBS446,62,0.1,24846.00935271316,21765.22543100748,0.804923747225355
20160902,mrazomej,O3,-9.7,RBS1147,30,0.1,27013.359528130994,23932.57560642531,0.8850769085273971
20160902,mrazomej,O3,-9.7,HG104,11,0.1,28539.649765205206,25458.865843499523,0.9415223269713072
20160902,mrazomej,O3,-9.7,auto,0,1.0,3060.438001968887,0.0,0.0
20160902,mrazomej,O3,-9.7,delta,0,1.0,29538.788026223927,26478.35002425504,1.0
20160902,mrazomej,O3,-9.7,RBS1L,870,1.0,9055.934745442373,5995.496743473486,0.2264301490833611
20160902,mrazomej,O3,-9.7,RBS1,610,1.0,10856.738676217008,7796.300674248121,0.2944405775702207
20160902,mrazomej,O3,-9.7,RBS1027,130,1.0,21142.86110644901,18082.423104480124,0.6829135156803966
20160902,mrazomej,O3,-9.7,RBS446,62,1.0,25063.11734346837,22002.679341499483,0.8309686714370157
20160902,mrazomej,O3,-9.7,RBS1147,30,1.0,26634.630721431204,23574.192719462317,0.8903195515531588
20160902,mrazomej,O3,-9.7,HG104,11,1.0,27836.951300342495,24776.513298373608,0.9357272366169911
20160902,mrazomej,O3,-9.7,auto,0,5.0,3067.1145321727577,0.0,0.0
20160902,mrazomej,O3,-9.7,delta,0,5.0,30227.66606404777,27160.551531875015,1.0
20160902,mrazomej,O3,-9.7,RBS1L,870,5.0,13726.932452001816,10659.817919829058,0.39247428047692384
20160902,mrazomej,O3,-9.7,RBS1,610,5.0,15657.580922122186,12590.466389949428,0.46355709585549243
20160902,mrazomej,O3,-9.7,RBS1027,130,5.0,25880.4475535674,22813.333021394643,0.8399436585306976
20160902,mrazomej,O3,-9.7,RBS446,62,5.0,28268.949961148464,25201.835428975708,0.9278837876101079
20160902,mrazomej,O3,-9.7,RBS1147,30,5.0,28873.012126766895,25805.89759459414,0.9501242110017138
20160902,mrazomej,O3,-9.7,HG104,11,5.0,29356.191183565275,26289.07665139252,0.9679139475698881
20160902,mrazomej,O3,-9.7,auto,0,10.0,3029.850183937457,0.0,0.0
20160902,mrazomej,O3,-9.7,delta,0,10.0,30365.381104110882,27335.530920173424,1.0
20160902,mrazomej,O3,-9.7,RBS1L,870,10.0,19471.624603018085,16441.774419080626,0.6014799737050915
