operator,repressors,mode,hpd_min,hpd_max
O1,22,55.39218618749204,10.808098156504656,10.90906417281004
O1,60,54.696068577009704,10.33580890151601,11.077319816224524
O1,124,55.166567457463465,9.968623802208349,11.09772906214409
O1,260,54.68350523710902,9.611583217145473,11.936636572055534
O1,1220,54.41868450511224,9.141119933676599,12.00654594839881
O1,1740,54.94584571872845,10.189147715630853,11.0820151990998
O2,22,54.506608099315905,9.69150674604203,11.474042081723745
O2,60,55.45391178895706,10.0124462899403,10.836381120687378
O2,124,54.5325667702541,10.057163058191378,11.33080435897326
O2,260,54.446682776483684,9.05230414904986,12.592739305645765
O2,1220,54.9925514907717,10.455942185638541,11.113742346960692
O2,1740,53.81540935870386,9.145481857389363,12.395062610467534
O3,22,55.43825310220563,10.308750060377974,10.506042362913895
O3,60,55.25305496842967,10.02612812355644,11.518249849621476
O3,124,55.143766866571006,10.122372867902115,11.202153021046833
O3,260,54.96040866897229,10.149796191881961,11.242883711148039
O3,1220,54.24920438611646,9.11648563885106,12.26077961001235
O3,1740,54.59030573871399,9.451449320642162,11.955641436080647
