,date,username,operator,binding_energy,rbs,repressors,IPTG_uM,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
8,20160805,mrazomej,O2,-13.9,auto,0,0.1,3474.44168706,0.0,0.0
9,20160805,mrazomej,O2,-13.9,delta,0,0.1,22084.6515015,18610.2098144,1.0
10,20160805,mrazomej,O2,-13.9,RBS1L,870,0.1,3547.40388337,72.9621963043,0.00392054668013
11,20160805,mrazomej,O2,-13.9,RBS1,610,0.1,3569.07730024,94.6356131771,0.00508514488127
12,20160805,mrazomej,O2,-13.9,RBS1027,130,0.1,3782.19730867,307.755621608,0.0165369238003
13,20160805,mrazomej,O2,-13.9,RBS446,62,0.1,4033.50104672,559.059359659,0.0300404651659
14,20160805,mrazomej,O2,-13.9,RBS1147,30,0.1,4426.91491374,952.473226675,0.0511801444569
15,20160805,mrazomej,O2,-13.9,HG104,11,0.1,6829.69707725,3355.25539019,0.180291110291
16,20160805,mrazomej,O2,-13.9,auto,0,5.0,3426.06549556,0.0,0.0
17,20160805,mrazomej,O2,-13.9,delta,0,5.0,22465.0210156,19038.9555201,1.0
18,20160805,mrazomej,O2,-13.9,RBS1L,870,5.0,3615.20008375,189.134588183,0.00993408425075
19,20160805,mrazomej,O2,-13.9,RBS1,610,5.0,3678.27322677,252.207731209,0.0132469310589
20,20160805,mrazomej,O2,-13.9,RBS1027,130,5.0,4122.82452795,696.759032388,0.0365964945742
21,20160805,mrazomej,O2,-13.9,RBS446,62,5.0,4741.8092922,1315.74379663,0.0691079820658
22,20160805,mrazomej,O2,-13.9,RBS1147,30,5.0,5746.92216296,2320.8566674,0.12190041964
23,20160805,mrazomej,O2,-13.9,HG104,11,5.0,11630.2359098,8204.17041428,0.430914942032
24,20160805,mrazomej,O2,-13.9,auto,0,10.0,3403.25888877,0.0,0.0
25,20160805,mrazomej,O2,-13.9,delta,0,10.0,23035.548978,19632.2900892,1.0
26,20160805,mrazomej,O2,-13.9,RBS1L,870,10.0,3632.6176542,229.358765432,0.0116827310716
27,20160805,mrazomej,O2,-13.9,RBS1,610,10.0,3836.67699041,433.418101632,0.0220767979519
28,20160805,mrazomej,O2,-13.9,RBS1027,130,10.0,5223.63652283,1820.37763405,0.0927236519928
29,20160805,mrazomej,O2,-13.9,RBS446,62,10.0,6840.28847606,3437.02958729,0.17507023234
30,20160805,mrazomej,O2,-13.9,RBS1147,30,10.0,8732.02240802,5328.76351925,0.271428523878
31,20160805,mrazomej,O2,-13.9,HG104,11,10.0,17814.3347147,14411.0758259,0.734049658011
32,20160805,mrazomej,O2,-13.9,auto,0,25.0,3387.91661247,0.0,0.0
33,20160805,mrazomej,O2,-13.9,delta,0,25.0,22491.7111415,19103.794529,1.0
34,20160805,mrazomej,O2,-13.9,RBS1L,870,25.0,4090.13451793,702.217905457,0.0367580327767
35,20160805,mrazomej,O2,-13.9,RBS1,610,25.0,4513.4258238,1125.50921134,0.058915479311
36,20160805,mrazomej,O2,-13.9,RBS1027,130,25.0,7446.93555008,4059.01893761,0.212471869473
37,20160805,mrazomej,O2,-13.9,RBS446,62,25.0,11386.3819579,7998.46534544,0.418684640546
38,20160805,mrazomej,O2,-13.9,RBS1147,30,25.0,13935.3101949,10547.3935825,0.552109873589
39,20160805,mrazomej,O2,-13.9,HG104,11,25.0,22356.0512387,18968.1346263,0.992898798061
40,20160805,mrazomej,O2,-13.9,auto,0,50.0,3352.46917857,0.0,0.0
41,20160805,mrazomej,O2,-13.9,delta,0,50.0,22696.2960876,19343.826909,1.0
42,20160805,mrazomej,O2,-13.9,RBS1L,870,50.0,4709.87719032,1357.40801174,0.070172671526
43,20160805,mrazomej,O2,-13.9,RBS1,610,50.0,6117.27094341,2764.80176484,0.142929409875
44,20160805,mrazomej,O2,-13.9,RBS1027,130,50.0,12772.5873488,9420.11817022,0.486983171144
45,20160805,mrazomej,O2,-13.9,RBS446,62,50.0,16005.0356054,12652.5664268,0.654088070904
46,20160805,mrazomej,O2,-13.9,RBS1147,30,50.0,18309.6474335,14957.1782549,0.77322746555
47,20160805,mrazomej,O2,-13.9,HG104,11,50.0,21797.0436041,18444.5744256,0.953512172762
48,20160805,mrazomej,O2,-13.9,auto,0,75.0,3374.01312324,0.0,0.0
49,20160805,mrazomej,O2,-13.9,delta,0,75.0,22556.1582302,19182.145107,1.0
50,20160805,mrazomej,O2,-13.9,RBS1L,870,75.0,5482.43928726,2108.42616402,0.109916078325
51,20160805,mrazomej,O2,-13.9,RBS1,610,75.0,7270.34831924,3896.335196,0.203123017487
52,20160805,mrazomej,O2,-13.9,RBS1027,130,75.0,15142.8364925,11768.8233693,0.613530098102
53,20160805,mrazomej,O2,-13.9,RBS446,62,75.0,18841.8131192,15467.7999959,0.806364455574
54,20160805,mrazomej,O2,-13.9,RBS1147,30,75.0,20406.8357735,17032.8226502,0.887951923795
55,20160805,mrazomej,O2,-13.9,HG104,11,75.0,22490.7206152,19116.707492,0.996588618496
56,20160805,mrazomej,O2,-13.9,auto,0,100.0,3411.95574079,0.0,0.0
57,20160805,mrazomej,O2,-13.9,delta,0,100.0,22726.3060328,19314.350292,1.0
58,20160805,mrazomej,O2,-13.9,RBS1L,870,100.0,8052.465806,4640.51006521,0.24026229177
59,20160805,mrazomej,O2,-13.9,RBS1,610,100.0,11304.3583087,7892.40256796,0.408628944212
60,20160805,mrazomej,O2,-13.9,RBS1027,130,100.0,17476.5648813,14064.6091405,0.728194784079
61,20160805,mrazomej,O2,-13.9,RBS446,62,100.0,20059.8991777,16647.9434369,0.861946852219
62,20160805,mrazomej,O2,-13.9,RBS1147,30,100.0,21020.7468339,17608.7910931,0.911694715425
63,20160805,mrazomej,O2,-13.9,HG104,11,100.0,22599.4676739,19187.5119332,0.993432947164
64,20160805,mrazomej,O2,-13.9,auto,0,250.0,3413.05591506,0.0,0.0
65,20160805,mrazomej,O2,-13.9,delta,0,250.0,22491.5606032,19078.5046881,1.0
66,20160805,mrazomej,O2,-13.9,RBS1L,870,250.0,13877.4130113,10464.3570963,0.54848937416
67,20160805,mrazomej,O2,-13.9,RBS1,610,250.0,15327.1841945,11914.1282794,0.624479144156
68,20160805,mrazomej,O2,-13.9,RBS1027,130,250.0,19827.6243466,16414.5684315,0.860369756428
69,20160805,mrazomej,O2,-13.9,RBS446,62,250.0,20829.2705825,17416.2146674,0.912871053164
70,20160805,mrazomej,O2,-13.9,RBS1147,30,250.0,21318.9263699,17905.8704549,0.9385363658
71,20160805,mrazomej,O2,-13.9,HG104,11,250.0,22470.2505523,19057.1946372,0.998883033485
72,20160805,mrazomej,O2,-13.9,auto,0,500.0,3413.04859473,0.0,0.0
73,20160805,mrazomej,O2,-13.9,delta,0,500.0,22173.2585416,18760.2099469,1.0
74,20160805,mrazomej,O2,-13.9,RBS1L,870,500.0,15499.4283502,12086.3797555,0.644256103195
75,20160805,mrazomej,O2,-13.9,RBS1,610,500.0,17742.1852456,14329.1366509,0.763804706422
76,20160805,mrazomej,O2,-13.9,RBS1027,130,500.0,21701.0141706,18287.9655759,0.974827340827
77,20160805,mrazomej,O2,-13.9,RBS446,62,500.0,21726.9850852,18313.9364905,0.976211702447
78,20160805,mrazomej,O2,-13.9,RBS1147,30,500.0,21609.3246453,18196.2760506,0.969939894176
79,20160805,mrazomej,O2,-13.9,HG104,11,500.0,24531.6959023,21118.6473076,1.12571487032
80,20160805,mrazomej,O2,-13.9,auto,0,1000.0,3401.93967497,0.0,0.0
81,20160805,mrazomej,O2,-13.9,delta,0,1000.0,21882.7747841,18480.8351091,1.0
82,20160805,mrazomej,O2,-13.9,RBS1L,870,1000.0,16018.7794931,12616.8398181,0.682698576314
83,20160805,mrazomej,O2,-13.9,RBS1,610,1000.0,16159.2921507,12757.3524758,0.69030173152
84,20160805,mrazomej,O2,-13.9,RBS1027,130,1000.0,20997.8072869,17595.8676119,0.952114312366
85,20160805,mrazomej,O2,-13.9,RBS446,62,1000.0,22374.048875,18972.1092001,1.02658289455
86,20160805,mrazomej,O2,-13.9,RBS1147,30,1000.0,22921.4152708,19519.4755958,1.05620094983
87,20160805,mrazomej,O2,-13.9,HG104,11,1000.0,23330.0143298,19928.0746548,1.0783102894
88,20160805,mrazomej,O2,-13.9,auto,0,5000.0,3291.6631508,0.0,0.0
89,20160805,mrazomej,O2,-13.9,delta,0,5000.0,18810.7245938,15519.061443,1.0
90,20160805,mrazomej,O2,-13.9,RBS1L,870,5000.0,15896.4737156,12604.8105648,0.812214747077
91,20160805,mrazomej,O2,-13.9,RBS1,610,5000.0,15960.216246,12668.5530952,0.816322117267
92,20160805,mrazomej,O2,-13.9,RBS1027,130,5000.0,17408.1552505,14116.4920997,0.909622798488
93,20160805,mrazomej,O2,-13.9,RBS446,62,5000.0,18240.0178919,14948.3547411,0.963225437051
94,20160805,mrazomej,O2,-13.9,RBS1147,30,5000.0,18575.325278,15283.6621272,0.984831601017
95,20160805,mrazomej,O2,-13.9,HG104,11,5000.0,18582.9524956,15291.2893448,0.985323075169
0,20160807,mrazomej,O2,-13.9,auto,0,0.0,3428.12097461,0.0,0.0
1,20160807,mrazomej,O2,-13.9,delta,0,0.0,21456.9199607,18028.7989861,1.0
2,20160807,mrazomej,O2,-13.9,RBS1L,870,0.0,3600.08744502,171.966470412,0.00953843184702
3,20160807,mrazomej,O2,-13.9,RBS1,610,0.0,3483.85416147,55.7331868638,0.00309134218574
4,20160807,mrazomej,O2,-13.9,RBS1027,130,0.0,3674.92801587,246.807041255,0.0136895997035
5,20160807,mrazomej,O2,-13.9,RBS446,62,0.0,3962.61291574,534.491941129,0.0296465638972
6,20160807,mrazomej,O2,-13.9,RBS1147,30,0.0,4147.71436793,719.593393318,0.0399135513062
7,20160807,mrazomej,O2,-13.9,HG104,11,0.0,6463.12813398,3035.00715937,0.168342170863
8,20160807,mrazomej,O2,-13.9,auto,0,0.1,3332.50976381,0.0,0.0
9,20160807,mrazomej,O2,-13.9,delta,0,0.1,22455.3469514,19122.8371876,1.0
10,20160807,mrazomej,O2,-13.9,RBS1L,870,0.1,3447.58635977,115.076595958,0.00601775745036
11,20160807,mrazomej,O2,-13.9,RBS1,610,0.1,3419.16952337,86.6597595574,0.00453174174457
12,20160807,mrazomej,O2,-13.9,RBS1027,130,0.1,3616.94557029,284.435806483,0.0148741425602
13,20160807,mrazomej,O2,-13.9,RBS446,62,0.1,3885.86698179,553.357217981,0.0289369831764
14,20160807,mrazomej,O2,-13.9,RBS1147,30,0.1,4119.5716014,787.061837589,0.0411582146451
15,20160807,mrazomej,O2,-13.9,HG104,11,0.1,6483.14062647,3150.63086266,0.164757500771
16,20160807,mrazomej,O2,-13.9,auto,0,5.0,3273.63270231,0.0,0.0
17,20160807,mrazomej,O2,-13.9,delta,0,5.0,22345.2560143,19071.6233119,1.0
18,20160807,mrazomej,O2,-13.9,RBS1L,870,5.0,3652.84188779,379.209185478,0.0198834246711
19,20160807,mrazomej,O2,-13.9,RBS1,610,5.0,3733.50475453,459.872052215,0.0241128950952
20,20160807,mrazomej,O2,-13.9,RBS1027,130,5.0,4635.39484951,1361.7621472,0.0714025295552
21,20160807,mrazomej,O2,-13.9,RBS446,62,5.0,5231.20914306,1957.57644075,0.102643409464
22,20160807,mrazomej,O2,-13.9,RBS1147,30,5.0,5402.80779364,2129.17509133,0.111640999642
23,20160807,mrazomej,O2,-13.9,HG104,11,5.0,8758.50386768,5484.87116537,0.287593304233
24,20160807,mrazomej,O2,-13.9,auto,0,10.0,3387.41462565,0.0,0.0
25,20160807,mrazomej,O2,-13.9,delta,0,10.0,22694.0494925,19306.6348669,1.0
26,20160807,mrazomej,O2,-13.9,RBS1L,870,10.0,3631.06549687,243.650871214,0.0126200590053
27,20160807,mrazomej,O2,-13.9,RBS1,610,10.0,3820.41591194,433.001286287,0.022427589752
28,20160807,mrazomej,O2,-13.9,RBS1027,130,10.0,4981.274466,1593.85984035,0.0825550310209
