# Date : 2017-10-13
# Equipment : Björkman MACSQuant
# User : gchure
# Description :
# Timecourse measurement of expression to determine if we are in steady-state.
# Auto (HG104), O2 Delta (O2 HG105), and O2 RBS1027 cells were diluted 1:1000
# into M9 + 0.5% glucose + 50µM IPTG in a large 2mL 96 well plate and allowed t
# to grow for several hours with measurement on the MACSQuant. The dilution was
# performed at 08h45m and the first measurement was made at 09h45m, followed
# by a measurement each hour afterward.
date,username,operator,strain,repressors,IPTG_uM,replicate_no,clock_time,delta_t,FITC-A,fold_change_A
20171013,gchure,O2,auto,0,50.0,1,10h00m,1.25,3867.6879212395697,0.0
20171013,gchure,O2,delta,0,50.0,1,10h00m,1.25,18671.085900586346,1.0
20171013,gchure,O2,RBS1027,130,50.0,1,10h00m,1.25,7087.38158511332,0.21749693336393194
20171013,gchure,O2,RBS1027,130,50.0,2,10h00m,1.25,6219.993080624729,0.15168923834211653
20171013,gchure,O2,delta,0,50.0,2,10h00m,1.25,18702.35591498437,1.0
20171013,gchure,O2,auto,0,50.0,2,10h00m,1.25,3987.9807136549402,0.0
20171013,gchure,O2,RBS1027,130,50.0,3,10h00m,1.25,6681.472345119548,0.17917411533867214
20171013,gchure,O2,delta,0,50.0,3,10h00m,1.25,18691.169390917043,1.0
20171013,gchure,O2,auto,0,50.0,3,10h00m,1.25,4059.9336194565867,0.0
20171013,gchure,O2,RBS1027,130,50.0,1,19h02m,10.28,15985.226850868625,-1.44294582506272
20171013,gchure,O2,delta,0,50.0,1,19h02m,10.28,3279.153640804466,1.0
20171013,gchure,O2,auto,0,50.0,1,19h02m,10.28,8480.281344787809,-0.0
20171013,gchure,O2,delta,0,50.0,2,19h02m,10.28,20942.963187634003,1.0
20171013,gchure,O2,auto,0,50.0,2,19h02m,10.28,3365.7988756751547,0.0
20171013,gchure,O2,RBS1027,130,50.0,2,19h02m,10.28,9942.573428186708,0.3741658458547242
20171013,gchure,O2,RBS1027,130,50.0,3,19h02m,10.28,9151.18967294959,0.18688575293093546
20171013,gchure,O2,auto,0,50.0,3,19h02m,10.28,3453.4445076849333,0.0
20171013,gchure,O2,delta,0,50.0,3,19h02m,10.28,33941.29644881329,1.0
20171013,gchure,O2,RBS1027,130,50.0,1,20h01m,11.27,8584.375537997981,0.20092223267799475
20171013,gchure,O2,delta,0,50.0,1,20h01m,11.27,30336.603448482456,1.0
20171013,gchure,O2,auto,0,50.0,1,20h01m,11.27,3114.9376732176124,0.0
20171013,gchure,O2,delta,0,50.0,2,20h01m,11.27,23781.76168691155,1.0
20171013,gchure,O2,auto,0,50.0,2,20h01m,11.27,3171.4369799757983,0.0
20171013,gchure,O2,RBS1027,130,50.0,2,20h01m,11.27,6615.172014586485,0.16708785929276534
20171013,gchure,O2,RBS1027,130,50.0,3,20h01m,11.27,6840.9629803548405,0.32575636663755564
20171013,gchure,O2,auto,0,50.0,3,20h01m,11.27,3147.297168463687,0.0
20171013,gchure,O2,delta,0,50.0,3,20h01m,11.27,14486.034305106714,1.0
20171013,gchure,O2,RBS1027,130,50.0,1,20h59m,12.23,6698.032577706227,0.15441673456136829
20171013,gchure,O2,auto,0,50.0,1,20h59m,12.23,2911.7462056924364,0.0
20171013,gchure,O2,delta,0,50.0,1,20h59m,12.23,27431.66875663231,1.0
20171013,gchure,O2,auto,0,50.0,2,20h59m,12.23,3059.1561153399284,0.0
20171013,gchure,O2,delta,0,50.0,2,20h59m,12.23,25456.708797919502,1.0
20171013,gchure,O2,RBS1027,130,50.0,2,20h59m,12.23,6423.158635596197,0.15019509354130156
20171013,gchure,O2,RBS1027,130,50.0,3,20h59m,12.23,6403.220569136424,0.37049923883633806
20171013,gchure,O2,delta,0,50.0,3,20h59m,12.23,12123.344864815983,1.0
20171013,gchure,O2,auto,0,50.0,3,20h59m,12.23,3036.5817525591556,0.0
20171013,gchure,O2,RBS1027,130,50.0,1,10h59m,2.23,7792.822663946597,0.26215158122454496
20171013,gchure,O2,auto,0,50.0,1,10h59m,2.23,3384.75326260843,0.0
20171013,gchure,O2,delta,0,50.0,1,10h59m,2.23,20199.717264532384,1.0
20171013,gchure,O2,delta,0,50.0,2,10h59m,2.23,20844.868909990826,1.0
20171013,gchure,O2,auto,0,50.0,2,10h59m,2.23,3492.451267903826,0.0
20171013,gchure,O2,RBS1027,130,50.0,2,10h59m,2.23,6349.901147937584,0.16467157136093968
20171013,gchure,O2,delta,0,50.0,3,10h59m,2.23,21234.31290596727,1.0
20171013,gchure,O2,auto,0,50.0,3,10h59m,2.23,3451.0882633920055,0.0
20171013,gchure,O2,RBS1027,130,50.0,3,10h59m,2.23,7758.573588171453,0.24222183610427936
20171013,gchure,O2,delta,0,50.0,1,11h58m,3.22,20447.063130527567,1.0
20171013,gchure,O2,auto,0,50.0,1,11h58m,3.22,3247.503961042342,0.0
20171013,gchure,O2,RBS1027,130,50.0,1,11h58m,3.22,9262.155266890142,0.34969799205777063
20171013,gchure,O2,RBS1027,130,50.0,2,11h58m,3.22,7729.685676795688,0.2534545900292945
20171013,gchure,O2,auto,0,50.0,2,11h58m,3.22,3315.7485674940554,0.0
20171013,gchure,O2,delta,0,50.0,2,11h58m,3.22,20730.84887714505,1.0
20171013,gchure,O2,RBS1027,130,50.0,3,11h58m,3.22,8914.32047182597,0.31811533868011554
20171013,gchure,O2,auto,0,50.0,3,11h58m,3.22,3304.3795847778033,0.0
20171013,gchure,O2,delta,0,50.0,3,11h58m,3.22,20939.306936361136,1.0
20171013,gchure,O2,auto,0,50.0,1,13h00m,4.25,3341.9072372155097,0.0
20171013,gchure,O2,delta,0,50.0,1,13h00m,4.25,23712.110194574863,1.0
20171013,gchure,O2,RBS1027,130,50.0,1,13h00m,4.25,10889.779559878283,0.37053495924722124
20171013,gchure,O2,RBS1027,130,50.0,2,13h00m,4.25,10877.62537669817,0.3678217112430945
20171013,gchure,O2,delta,0,50.0,2,13h00m,4.25,23861.2347297503,1.0
20171013,gchure,O2,auto,0,50.0,2,13h00m,4.25,3323.342834439137,0.0
20171013,gchure,O2,RBS1027,130,50.0,3,13h00m,4.25,10690.109712898973,0.36124958295590437
20171013,gchure,O2,delta,0,50.0,3,13h00m,4.25,23696.37640246062,1.0
20171013,gchure,O2,auto,0,50.0,3,13h00m,4.25,3334.3283434551736,0.0
20171013,gchure,O2,delta,0,50.0,1,14h00m,5.25,25210.239788555267,1.0
20171013,gchure,O2,auto,0,50.0,1,14h00m,5.25,3242.824527340516,0.0
20171013,gchure,O2,RBS1027,130,50.0,1,14h00m,5.25,10537.016790160675,0.3320459952199586
20171013,gchure,O2,RBS1027,130,50.0,2,14h00m,5.25,12382.67180098886,0.4345953450349948
20171013,gchure,O2,auto,0,50.0,2,14h00m,5.25,3228.3537344146607,0.0
20171013,gchure,O2,delta,0,50.0,2,14h00m,5.25,24292.357689259294,1.0
20171013,gchure,O2,RBS1027,130,50.0,3,14h00m,5.25,11117.656448268126,0.39163241781830654
20171013,gchure,O2,auto,0,50.0,3,14h00m,5.25,3192.4907272314886,0.0
20171013,gchure,O2,delta,0,50.0,3,14h00m,5.25,23428.725932646554,1.0
20171013,gchure,O2,RBS1027,130,50.0,1,15h03m,6.30,10325.761633970258,0.25826730303655154
20171013,gchure,O2,delta,0,50.0,1,15h03m,6.30,30999.534545884286,1.0
20171013,gchure,O2,auto,0,50.0,1,15h03m,6.30,3127.2660095913498,0.0
20171013,gchure,O2,auto,0,50.0,2,15h03m,6.30,3085.2274124850464,0.0
20171013,gchure,O2,delta,0,50.0,2,15h03m,6.30,30044.05003054207,1.0
20171013,gchure,O2,RBS1027,130,50.0,2,15h03m,6.30,14813.849740925027,0.43505691975524735
20171013,gchure,O2,auto,0,50.0,3,15h03m,6.30,3113.8668980394227,0.0
20171013,gchure,O2,delta,0,50.0,3,15h03m,6.30,28073.87815114797,1.0
20171013,gchure,O2,RBS1027,130,50.0,3,15h03m,6.30,12985.632280310694,0.3955032424531391
20171013,gchure,O2,RBS1027,130,50.0,1,15h57m,7.20,7741.505686821799,0.23350089872351573
20171013,gchure,O2,auto,0,50.0,1,15h57m,7.20,3110.1285087649985,0.0
20171013,gchure,O2,delta,0,50.0,1,15h57m,7.20,22944.643936222656,1.0
20171013,gchure,O2,delta,0,50.0,2,15h57m,7.20,23376.458355673352,1.0
20171013,gchure,O2,auto,0,50.0,2,15h57m,7.20,3117.6990691670876,0.0
20171013,gchure,O2,RBS1027,130,50.0,2,15h57m,7.20,10774.38737750372,0.3779445818992734
20171013,gchure,O2,delta,0,50.0,3,15h57m,7.20,23001.969686137076,1.0
20171013,gchure,O2,auto,0,50.0,3,15h57m,7.20,3117.983138368237,0.0
20171013,gchure,O2,RBS1027,130,50.0,3,15h57m,7.20,10862.647442306403,0.3894925338705374
20171013,gchure,O2,RBS1027,130,50.0,1,17h00m,8.25,6805.63901678106,0.19813346604990392
20171013,gchure,O2,auto,0,50.0,1,17h00m,8.25,3055.5380037170903,0.0
20171013,gchure,O2,delta,0,50.0,1,17h00m,8.25,21982.683870732966,1.0
20171013,gchure,O2,delta,0,50.0,2,17h00m,8.25,25796.27291917479,1.0
20171013,gchure,O2,auto,0,50.0,2,17h00m,8.25,3047.856398387525,0.0
20171013,gchure,O2,RBS1027,130,50.0,2,17h00m,8.25,9770.524734283477,0.29552247426772976
20171013,gchure,O2,delta,0,50.0,3,17h00m,8.25,22409.2520625576,1.0
20171013,gchure,O2,auto,0,50.0,3,17h00m,8.25,3001.9270132460247,0.0
20171013,gchure,O2,RBS1027,130,50.0,3,17h00m,8.25,10020.47405019673,0.36164422552399467
20171013,gchure,O2,RBS1027,130,50.0,1,18h02m,9.28,11169.610875666662,0.3041636568207747
20171013,gchure,O2,auto,0,50.0,1,18h02m,9.28,3327.9741204219627,0.0
20171013,gchure,O2,delta,0,50.0,1,18h02m,9.28,29108.952811986364,1.0
20171013,gchure,O2,delta,0,50.0,2,18h02m,9.28,23677.034424475423,1.0
20171013,gchure,O2,auto,0,50.0,2,18h02m,9.28,3652.898663627302,0.0
20171013,gchure,O2,RBS1027,130,50.0,2,18h02m,9.28,10403.484759796742,0.3371224694435212
20171013,gchure,O2,delta,0,50.0,3,18h02m,9.28,19262.443093160444,1.0
20171013,gchure,O2,auto,0,50.0,3,18h02m,9.28,3566.7738040887157,0.0
20171013,gchure,O2,RBS1027,130,50.0,3,18h02m,9.28,10313.676410951955,0.42985759209139557
