parameter,ep,bestfit
logKA,-10.,-8.655204424536132
logKA,-9.9,-8.655204981774537
logKA,-9.8,-8.655205597613765
logKA,-9.7,-8.655206278215934
logKA,-9.6,-8.655207030391022
logKA,-9.5,-8.655207861664945
logKA,-9.4,-8.655208780354807
logKA,-9.3,-8.65520979565203
logKA,-9.2,-8.655210917714221
logKA,-9.1,-8.65521215776668
logKA,-9.,-8.655213528214556
logKA,-8.9,-8.655215042766779
logKA,-8.8,-8.655216716572975
logKA,-8.7,-8.655218566374755
logKA,-8.6,-8.655220610672846
logKA,-8.5,-8.65522286991175
logKA,-8.4,-8.655225366683736
logKA,-8.3,-8.65522812595418
logKA,-8.2,-8.655231175310513
logKA,-8.1,-8.655234545237187
logKA,-8.,-8.65523826941938
logKA,-7.9,-8.655242385078456
logKA,-7.8,-8.655246933342402
logKA,-7.699999999999999,-8.655251959654949
logKA,-7.6,-8.655257514227305
logKA,-7.5,-8.655263652536918
logKA,-7.4,-8.65527043587813
logKA,-7.3,-8.655277931970028
logKA,-7.199999999999999,-8.655286215627363
logKA,-7.1,-8.65529536950096
logKA,-7.,-8.655305484894718
logKA,-6.9,-8.655316662666971
logKA,-6.8,-8.655329014224716
logKA,-6.699999999999999,-8.655342662620061
logKA,-6.6,-8.65535774375914
logKA,-6.5,-8.65537440773469
logKA,-6.4,-8.655392820294507
logKA,-6.3,-8.655413164459185
logKA,-6.199999999999999,-8.655435642303665
logKA,-6.1,-8.655460476918439
logKA,-6.,-8.655487914567653
logKA,-5.8999999999999995,-8.655518227062732
logKA,-5.8,-8.655551714371699
logKA,-5.7,-8.655588707485975
logKA,-5.6,-8.655629571568017
logKA,-5.5,-8.655674709404844
logKA,-5.3999999999999995,-8.65572456519422
logKA,-5.3,-8.655779628691826
logKA,-5.199999999999999,-8.655840439749383
logKA,-5.1,-8.655907593275154
logKA,-5.,-8.655981744649448
logKA,-4.8999999999999995,-8.656063615628772
logKA,-4.8,-8.656154000772817
logKA,-4.699999999999999,-8.656253774428482
logKA,-4.6,-8.656363898304509
logKA,-4.5,-8.656485429668674
logKA,-4.3999999999999995,-8.656619530196762
logKA,-4.3,-8.656767475498405
logKA,-4.199999999999999,-8.656930665338843
logKA,-4.1,-8.657110634567537
logKA,-4.,-8.657309064753749
logKA,-3.8999999999999995,-8.657527796515149
logKA,-3.8,-8.65776884250768
logKA,-3.6999999999999993,-8.65803440102261
logKA,-3.5999999999999996,-8.658326870109086
logKA,-3.5,-8.658648862106988
logKA,-3.3999999999999995,-8.659003218434366
logKA,-3.3,-8.6593930244257
logKA,-3.1999999999999993,-8.659821623960713
logKA,-3.0999999999999996,-8.660292633557837
logKA,-3.,-8.660809955531537
logKA,-2.8999999999999995,-8.661377789728135
logKA,-2.8,-8.662000643261303
logKA,-2.6999999999999993,-8.66268333756709
logKA,-2.5999999999999996,-8.663431011991177
logKA,-2.5,-8.66424912301157
logKA,-2.3999999999999995,-8.66514343809264
logKA,-2.3,-8.666120023067842
logKA,-2.1999999999999993,-8.667185221867136
logKA,-2.0999999999999996,-8.668345626356976
logKA,-2.,-8.669608040969484
logKA,-1.9000000000000004,-8.670979426167781
logKA,-1.799999999999999,-8.672466839224544
logKA,-1.6999999999999993,-8.674077356781076
logKA,-1.5999999999999996,-8.675817984425684
logKA,-1.5,-8.677695552136045
logKA,-1.4000000000000004,-8.679716595938071
logKA,-1.299999999999999,-8.681887226791662
logKA,-1.1999999999999993,-8.68421298848113
logKA,-1.0999999999999996,-8.686698707140355
logKA,-1.,-8.689348335939846
logKA,-0.9000000000000004,-8.692164799349058
logKA,-0.7999999999999989,-8.695149842192826
logKA,-0.6999999999999993,-8.698303889365041
logKA,-0.5999999999999996,-8.701625922461849
logKA,-0.5,-8.70511337967145
logKA,-0.3999999999999986,-8.70876208494479
logKA,-0.29999999999999893,-8.712566211734323
logKA,-0.1999999999999993,-8.7165182854261
logKA,-0.09999999999999964,-8.720609227045793
logKA,0.,-8.724828437823986
logKA,0.10000000000000142,-8.729163929930934
logKA,0.20000000000000107,-8.733602484361684
logKA,0.3000000000000007,-8.73812985072702
logKA,0.40000000000000036,-8.742730967876339
logKA,0.5,-8.747390202862041
logKA,0.6000000000000014,-8.7520915984463
logKA,0.7000000000000011,-8.756819120853908
logKA,0.8000000000000007,-8.761556899073053
logKA,0.9000000000000004,-8.766289448394499
logKA,1.,-8.771001872084023
logKA,1.1000000000000014,-8.77568003572047
logKA,1.200000000000001,-8.78031071289675
logKA,1.3000000000000007,-8.784881698642554
logKA,1.4000000000000004,-8.789381891763878
logKA,1.5,-8.793801346637792
logKA,1.6000000000000014,-8.798131298880081
logKA,1.700000000000001,-8.80236416192347
logKA,1.8000000000000007,-8.806493503772375
logKA,1.9000000000000004,-8.810514014320454
logKA,2.,-8.814421439702937
logKA,2.1000000000000014,-8.818212522629421
logKA,2.200000000000001,-8.8218849280343
logKA,2.3000000000000007,-8.825437164998872
logKA,2.4000000000000004,-8.828868506582884
logKA,2.5,-8.832178909646702
logKA,2.6000000000000014,-8.835368936317646
logKA,2.700000000000001,-8.838439678354415
logKA,2.8000000000000007,-8.841392685449042
logKA,2.9000000000000004,-8.844229898131834
logKA,3.,-8.846953586060641
logKA,3.1000000000000014,-8.849566289826601
logKA,3.200000000000001,-8.852070771426636
logKA,3.3000000000000007,-8.854469966666592
