parameter,ep,bestfit
logKA,3.4000000000000004,-8.856766944187255
logKA,3.5,-8.858964868957198
logKA,3.6000000000000014,-8.861066970240985
logKA,3.700000000000001,-8.863076513713407
logKA,3.8000000000000007,-8.864996777376913
logKA,3.9000000000000004,-8.866831030937544
logKA,4.,-8.8685825183017
logKA,4.100000000000001,-8.8702544428692
logKA,4.200000000000001,-8.871849955315849
logKA,4.300000000000001,-8.873372143579017
logKA,4.4,-8.874824024781663
logKA,4.5,-8.876208538852621
logKA,4.600000000000001,-8.877528543623331
logKA,4.700000000000001,-8.87878681120267
logKA,4.800000000000001,-8.879986025452235
logKA,4.9,-8.881128780403644
logKA,5.,-8.882217579477343
logKA,5.100000000000001,-8.88325483537889
logKA,5.200000000000001,-8.884242870563643
logKA,5.300000000000001,-8.885183919185957
logKA,5.4,-8.88608012439238
logKA,5.5,-8.886933545997357
logKA,5.600000000000001,-8.887746158375167
logKA,5.700000000000001,-8.88851985355732
logKA,5.800000000000001,-8.889256443485916
logKA,5.9,-8.889957662381256
logKA,6.,-8.890625169189777
logKA,6.100000000000001,-8.8912605500836
logKA,6.199999999999999,-8.89186532098741
logKA,6.300000000000001,-8.892440930112322
logKA,6.400000000000002,-8.892988760479751
logKA,6.5,-8.893510132421227
logKA,6.600000000000001,-8.894006306042689
logKA,6.699999999999999,-8.894478483643853
logKA,6.800000000000001,-8.894927812085264
logKA,6.900000000000002,-8.89535538509709
logKA,7.,-8.89576224552524
logKA,7.100000000000001,-8.896149387511395
logKA,7.199999999999999,-8.89651775860468
logKA,7.300000000000001,-8.896868261803396
logKA,7.400000000000002,-8.897201757526034
logKA,7.5,-8.89751906551133
logKA,7.600000000000001,-8.897820966647634
logKA,7.699999999999999,-8.898108204732193
logKA,7.800000000000001,-8.898381488161416
logKA,7.900000000000002,-8.898641491553299
logKA,8.,-8.898888857303515
logKA,8.100000000000001,-8.899124197076764
logKA,8.2,-8.899348093235169
logKA,8.3,-8.89956110020554
logKA,8.400000000000002,-8.89976374578744
logKA,8.5,-8.899956532403998
logKA,8.600000000000001,-8.900139938297444
logKA,8.7,-8.90031441867138
logKA,8.8,-8.900480406781735
logKA,8.900000000000002,-8.900638314978373
logKA,9.,-8.900788535699322
logKA,9.100000000000001,-8.900931442419454
logKA,9.200000000000003,-8.901067390555552
logKA,9.3,-8.901196718329512
logKA,9.400000000000002,-8.901319747591486
logKA,9.5,-8.90143678460466
logKA,9.600000000000001,-8.901548120793318
logKA,9.700000000000003,-8.901654033455818
logKA,9.8,-8.901754786444014
logKA,9.900000000000002,-8.901850630810605
logKA,10.,-8.90194180542588
logKI,-10.,-12.029737021446847
logKI,-9.9,-12.029739801227212
logKI,-9.8,-12.029742873343231
logKI,-9.7,-12.029746268536487
logKI,-9.6,-12.029750020780872
logKI,-9.5,-12.029754167622368
logKI,-9.4,-12.029758750554501
logKI,-9.3,-12.029763815433244
logKI,-9.2,-12.029769412935499
logKI,-9.1,-12.029775599065717
logKI,-9.,-12.029782435715726
logKI,-8.9,-12.029789991283309
logKI,-8.8,-12.029798341355734
logKI,-8.7,-12.029807569464989
logKI,-8.6,-12.02981776792226
logKI,-8.5,-12.029829038739939
logKI,-8.4,-12.029841494650302
logKI,-8.3,-12.029855260230967
logKI,-8.2,-12.029870473148291
logKI,-8.1,-12.029887285530998
logKI,-8.,-12.029905865487638
logKI,-7.9,-12.029926398782841
logKI,-7.8,-12.029949090688891
logKI,-7.699999999999999,-12.029974168030886
logKI,-7.6,-12.030001881445518
logKI,-7.5,-12.03003250787568
logKI,-7.4,-12.030066353325278
logKI,-7.3,-12.030103755901171
logKI,-7.199999999999999,-12.03014508917183
logKI,-7.1,-12.03019076587534
logKI,-7.,-12.030241242012622
logKI,-6.9,-12.030297021365346
logKI,-6.8,-12.030358660481909
logKI,-6.699999999999999,-12.030426774179157
logKI,-6.6,-12.030502041612186
logKI,-6.5,-12.030585212969646
logKI,-6.4,-12.030677116857508
logKI,-6.3,-12.030778668440252
logKI,-6.199999999999999,-12.030890878414937
logKI,-6.1,-12.031014862900602
logKI,-6.,-12.03115185433309
logKI,-5.8999999999999995,-12.031303213463374
logKI,-5.8,-12.031470442566226
logKI,-5.7,-12.031655199975285
logKI,-5.6,-12.031859316070317
logKI,-5.5,-12.032084810852744
logKI,-5.3999999999999995,-12.032333913256274
logKI,-5.3,-12.032609082350525
logKI,-5.199999999999999,-12.032913030606895
logKI,-5.1,-12.033248749407363
logKI,-5.,-12.033619536988228
logKI,-4.8999999999999995,-12.03402902902167
logKI,-4.8,-12.034481232048202
logKI,-4.699999999999999,-12.034980559981976
logKI,-4.6,-12.035531873918092
logKI,-4.5,-12.0361405254757
logKI,-4.3999999999999995,-12.036812403912005
logKI,-4.3,-12.037553987239278
logKI,-4.199999999999999,-12.038372397568159
logKI,-4.1,-12.039275460884774
logKI,-4.,-12.0402717714443
logKI,-3.8999999999999995,-12.041370760927816
logKI,-3.8,-12.042582772460028
logKI,-3.6999999999999993,-12.04391913951993
logKI,-3.5999999999999996,-12.045392269691723
logKI,-3.5,-12.04701573309567
logKI,-3.3999999999999995,-12.048804355204464
logKI,-3.3,-12.050774313585878
logKI,-3.1999999999999993,-12.052943237913134
logKI,-3.0999999999999996,-12.055330312346216
logKI,-3.,-12.057956379106864
logKI,-2.8999999999999995,-12.060844041744053
logKI,-2.8,-12.064017766213734
logKI,-2.6999999999999993,-12.06750397747652
logKI,-2.5999999999999996,-12.071331148852456
logKI,-2.5,-12.075529880869261
logKI,-2.3999999999999995,-12.080132965809907
logKI,-2.3,-12.085175433623737
logKI,-2.1999999999999993,-12.090694574335089
logKI,-2.0999999999999996,-12.096729931349296
logKI,-2.,-12.103323261376946
logKI,-1.9000000000000004,-12.110518451232313
logKI,-1.799999999999999,-12.118361390336624
logKI,-1.6999999999999993,-12.126899789226401
logKI,-1.5999999999999996,-12.136182940066753
logKI,-1.5,-12.14626141427044
logKI,-1.4000000000000004,-12.157186693858927
logKI,-1.299999999999999,-12.169010734961429
logKI,-1.1999999999999993,-12.18178546409767
logKI,-1.0999999999999996,-12.19556221060836
logKI,-1.,-12.21039108171746
logKI,-0.9000000000000004,-12.226320290113508
logKI,-0.7999999999999989,-12.24339544744955
logKI,-0.6999999999999993,-12.261658840557475
logKI,-0.5999999999999996,-12.28114871018733
logKI,-0.5,-12.301898554429973
logKI,-0.3999999999999986,-12.323936480383233
logKI,-0.29999999999999893,-12.347284627838523
logKI,-0.1999999999999993,-12.37195868763089
logKI,-0.09999999999999964,-12.397967534748709
logKI,0.,-12.425312992071596
logKI,0.10000000000000142,-12.453989737771897
logKI,0.20000000000000107,-12.48398535712172
logKI,0.3000000000000007,-12.515280543359424
logKI,0.40000000000000036,-12.547849436129084
logKI,0.5,-12.581660085864897
logKI,0.6000000000000014,-12.616675025655484
logKI,0.7000000000000011,-12.652851928873329
logKI,0.8000000000000007,-12.69014432831958
logKI,0.9000000000000004,-12.728502371944002
logKI,1.,-12.76787359075457
logKI,1.1000000000000014,-12.808203656068901
logKI,1.200000000000001,-12.849437106753038
logKI,1.3000000000000007,-12.891518029365086
logKI,1.4000000000000004,-12.93439067885724
logKI,1.5,-12.97800003075686
logKI,1.6000000000000014,-13.022292260277721
logKI,1.700000000000001,-13.067215144623203
logKI,1.8000000000000007,-13.112718391130832
logKI,1.9000000000000004,-13.158753896610051
logKI,2.,-13.205275934203277
logKI,2.1000000000000014,-13.252241284955398
logKI,2.200000000000001,-13.299609313417163
logKI,2.3000000000000007,-13.347341996907168
logKI,2.4000000000000004,-13.395403915258823
logKI,2.5,-13.443762207874503
logKI,2.6000000000000014,-13.49238650444861
logKI,2.700000000000001,-13.541248835142808
logKI,2.8000000000000007,-13.59032352540338
logKI,2.9000000000000004,-13.63958707992653
logKI,3.,-13.689018059755321
logKI,3.1000000000000014,-13.738596955022148
logKI,3.200000000000001,-13.788306057778717
logKI,3.3000000000000007,-13.838129334750409
logKI,3.4000000000000004,-13.888052303397119
logKI,3.5,-13.938061911912355
logKI,3.6000000000000014,-13.98814642421859
logKI,3.700000000000001,-14.038295310623145
logKI,3.8000000000000007,-14.088499144561627
logKI,3.9000000000000004,-14.138749505662553
logKI,4.,-14.189038889211993
logKI,4.100000000000001,-14.239360621975452
logKI,4.200000000000001,-14.289708784240785
logKI,4.300000000000001,-14.340078137876313
logKI,4.4,-14.390464060148178
logKI,4.5,-14.440862483006958
logKI,4.600000000000001,-14.491269837532462
logKI,4.700000000000001,-14.541683003214796
logKI,4.800000000000001,-14.592099261747059
logKI,4.9,-14.642516255008362
logKI,5.,-14.692931946924036
logKI,5.100000000000001,-14.743344588901165
logKI,5.200000000000001,-14.79375268855148
logKI,5.300000000000001,-14.84415498181738
logKI,5.4,-14.89455040591918
logKI,5.5,-14.94493807868256
logKI,5.600000000000001,-14.99531727631088
logKI,5.700000000000001,-15.045687415163785
logKI,5.800000000000001,-15.096048035049774
logKI,5.9,-15.146398784238906
logKI,6.,-15.196739406033826
logKI,6.100000000000001,-15.247069726750833
logKI,6.199999999999999,-15.297389644975395
logKI,6.300000000000001,-15.347699121968413
logKI,6.400000000000002,-15.397998173110476
logKI,6.5,-15.44828686028158
logKI,6.600000000000001,-15.49856528508315
logKI,6.699999999999999,-15.548833582817807
logKI,6.800000000000001,-15.599091917150309
logKI,6.900000000000002,-15.649340475380223
logKI,7.,-15.699579464263644
logKI,7.100000000000001,-15.7498091063272
logKI,7.199999999999999,-15.800029636623101
logKI,7.300000000000001,-15.850241299879052
logKI,7.400000000000002,-15.900444348001283
logKI,7.5,-15.950639037893168
logKI,7.600000000000001,-16.00082562955559
logKI,7.699999999999999,-16.05100438443851
logKI,7.800000000000001,-16.101175564016533
logKI,7.900000000000002,-16.151339428563567
logKI,8.,-16.201496236104724
logKI,8.100000000000001,-16.251646241525375
logKI,8.2,-16.30178969581963
logKI,8.3,-16.35192684546223
logKI,8.400000000000002,-16.402057931889512
logKI,8.5,-16.452183191076557
logKI,8.600000000000001,-16.50230285319912
logKI,8.7,-16.552417142369947
logKI,8.8,-16.60252627644041
logKI,8.900000000000002,-16.6526304668591
logKI,9.,-16.70272991858019
logKI,9.100000000000001,-16.752824830014944
logKI,9.200000000000003,-16.802915393020616
logKI,9.3,-16.85300179292146
logKI,9.400000000000002,-16.9030842085574
logKI,9.5,-16.95316281235609
logKI,9.600000000000001,-17.003237770424917
logKI,9.700000000000003,-17.053309242659573
logKI,9.8,-17.103377382866498
logKI,9.900000000000002,-17.153442338896593
logKI,10.,-17.203504252788033
