date,username,operator,binding_energy,rbs,repressors,IPTG,replica,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20160726,mrazomej,O1,-15.3,auto,0,0,00,3642.451104381054,0.0,0.0
20160726,mrazomej,O1,-15.3,auto,0,0,01,3606.409394061842,0.0,0.0
20160726,mrazomej,O1,-15.3,auto,0,0,02,3516.0519179410066,0.0,0.0
20160726,mrazomej,O1,-15.3,delta,0,0,00,16089.277057313559,12446.825952932504,1.0
20160726,mrazomej,O1,-15.3,delta,0,0,01,16429.54122329063,12823.131829228789,1.0
20160726,mrazomej,O1,-15.3,delta,0,0,02,15935.759521020218,12419.707603079212,1.0
20160726,mrazomej,O1,-15.3,RBS1L,870,0,00,3888.126773998913,245.67566961785906,0.019738017591543266
20160726,mrazomej,O1,-15.3,RBS1L,870,0,01,3681.6890398001215,75.27964573827967,0.005870613103008795
20160726,mrazomej,O1,-15.3,RBS1L,870,0,02,3639.8760542523496,123.82413631134295,0.009969971940454
20160726,mrazomej,O1,-15.3,RBS1,610,0,00,3816.063324753274,173.61222037222024,0.013948312688610926
20160726,mrazomej,O1,-15.3,RBS1,610,0,01,3682.9332893622122,76.52389530037044,0.005967644746967618
20160726,mrazomej,O1,-15.3,RBS1,610,0,02,3631.0001678883955,114.94824994738883,0.00925531048081114
20160726,mrazomej,O1,-15.3,RBS1027,130,0,00,3810.619760691279,168.1686563102253,0.01351096712898153
20160726,mrazomej,O1,-15.3,RBS1027,130,0,01,3593.1021552464113,-13.307238815430537,-0.0010377526327147541
20160726,mrazomej,O1,-15.3,RBS1027,130,0,02,3643.483288741694,127.43137080068755,0.010260416337748044
20160726,mrazomej,O1,-15.3,RBS446,62,0,00,3843.754383446728,201.3032790656739,0.016173061295056218
20160726,mrazomej,O1,-15.3,RBS446,62,0,01,3745.046524753315,138.63713069147343,0.010811487594276052
20160726,mrazomej,O1,-15.3,RBS446,62,0,02,3669.7801141428727,153.728196201866,0.01237776291639525
20160726,mrazomej,O1,-15.3,RBS1147,30,0,00,3917.523922513523,275.0728181324689,0.02209983647016941
20160726,mrazomej,O1,-15.3,RBS1147,30,0,01,3815.1815430596125,208.77214899777073,0.016280901715593352
20160726,mrazomej,O1,-15.3,RBS1147,30,0,02,3751.060943564936,235.00902562392957,0.018922267184910527
20160726,mrazomej,O1,-15.3,HG104,11,0,00,4468.993684546627,826.5425801655733,0.06640589201545297
20160726,mrazomej,O1,-15.3,HG104,11,0,01,4386.759626177744,780.3502321159026,0.06085488650574331
20160726,mrazomej,O1,-15.3,HG104,11,0,02,4278.130280968628,762.078363027621,0.06136041100022993
20160726,mrazomej,O2,-13.9,auto,0,0,00,3662.2369935916436,0.0,0.0
20160726,mrazomej,O2,-13.9,auto,0,0,01,3566.0857673958963,0.0,0.0
20160726,mrazomej,O2,-13.9,auto,0,0,02,3472.619065875425,0.0,0.0
20160726,mrazomej,O2,-13.9,delta,0,0,00,26932.203760777753,23269.96676718611,1.0
20160726,mrazomej,O2,-13.9,delta,0,0,01,26608.74941882721,23042.663651431314,1.0
20160726,mrazomej,O2,-13.9,delta,0,0,02,25918.23756659086,22445.618500715434,1.0
20160726,mrazomej,O2,-13.9,RBS1L,870,0,00,3856.171341113429,193.93434752178564,0.008334105048884731
20160726,mrazomej,O2,-13.9,RBS1L,870,0,01,3768.8657718129707,202.78000441707445,0.00880019807972498
20160726,mrazomej,O2,-13.9,RBS1L,870,0,02,3693.6077546359847,220.98868876055985,0.009845515673961759
20160726,mrazomej,O2,-13.9,RBS1,610,0,00,3861.375988564096,199.13899497245256,0.008557768774009005
20160726,mrazomej,O2,-13.9,RBS1,610,0,01,3800.0383906648403,233.95262326894408,0.010153019928944365
20160726,mrazomej,O2,-13.9,RBS1,610,0,02,3689.6127907616037,216.99372488617882,0.009667531544263855
20160726,mrazomej,O2,-13.9,RBS1027,130,0,00,4093.511999262858,431.27500567121433,0.018533546265281826
20160726,mrazomej,O2,-13.9,RBS1027,130,0,01,3999.9440242122128,433.8582568163165,0.018828476749881605
20160726,mrazomej,O2,-13.9,RBS1027,130,0,02,3863.6796602826867,391.06059440726176,0.0174225804646371
20160726,mrazomej,O2,-13.9,RBS446,62,0,00,4354.363647319163,692.1266537275192,0.029743345173294963
20160726,mrazomej,O2,-13.9,RBS446,62,0,01,4269.102364176606,703.0165967807097,0.030509345942609428
20160726,mrazomej,O2,-13.9,RBS446,62,0,02,4135.76360374115,663.1445378657254,0.029544498310197523
