date,username,operator,binding_energy,rbs,repressors,IPTG,mean_YFP_A,mean_YFP_H,mean_YFP_A_FSC_A,mean_YFP_bgcorr_A,mean_YFP_bgcorr_H,mean_YFP_bgcorr_r,fold_change_A,fold_change_H,fold_change_r
20160713,mrazomej,O1,-15.3,auto,0,0,3930.683466611492,6152.920498300189,0.41860582294226056,0.0,0.0,0.0,0.0,0.0,0.0
20160713,mrazomej,O1,-15.3,delta,0,0,20334.0996662674,17171.61693312323,2.114945435420113,16403.41619965591,11018.696434823041,1.6963396124778525,1.0,1.0,1.0
20160713,mrazomej,O1,-15.3,RBS1L,870,0,3984.2119304437356,6069.932946580066,0.42155970965854006,53.52846383224369,-82.98755172012352,0.002953886716279497,0.003263250970451298,-0.007531521737712369,0.0017413297989102186
20160713,mrazomej,O1,-15.3,RBS1,610,0,4004.2773657002813,6097.765092420029,0.4212423370385614,73.59389908878939,-55.15540588016029,0.002636514096300835,0.004486498311878056,-0.005005619875854768,0.0015542371804014318
20160713,mrazomej,O1,-15.3,RBS1027,130,0,4026.8057422048005,6097.842764057313,0.4236793297375626,96.12227559330859,-55.07773424287643,0.005073506795302052,0.005859893721121636,-0.004998570799065758,0.0029908555798512262
20160713,mrazomej,O1,-15.3,RBS446,62,0,4011.8798810272274,6084.691520621047,0.42512105653425003,81.19641441573549,-68.22897767914219,0.006515233591989467,0.004949969776261528,-0.0061921097547904215,0.0038407601544319476
20160713,mrazomej,O1,-15.3,RBS1147,30,0,4120.15620996577,6187.550397341196,0.4379728978498901,189.47274335427846,34.629899041006865,0.01936707490762951,0.011550809968368235,0.0031428308462663457,0.011416979692727872
20160713,mrazomej,O1,-15.3,HG104,11,0,4885.6050022588515,6623.483886914239,0.5112413547772836,954.9215356473596,470.5633886140495,0.09263553183502304,0.05821479648046672,0.042705903679032306,0.05460907188255176
20160713,mrazomej,O2,-13.9,auto,0,0,3887.45923866381,6088.731933132153,0.41023699437357464,0.0,0.0,0.0,0.0,0.0,0.0
20160713,mrazomej,O2,-13.9,delta,0,0,34172.92468930119,27172.25021577302,3.555538679994245,30285.465450637377,21083.518282640867,3.1453016856206704,1.0,1.0,1.0
20160713,mrazomej,O2,-13.9,RBS1L,870,0,4050.5255988611775,6156.374382058539,0.42548536494031014,163.06636019736743,67.64244892638544,0.015248370566735503,0.005384310849148121,0.0032083093542351945,0.004847983465766179
20160713,mrazomej,O2,-13.9,RBS1,610,0,4126.942521777137,6182.583127328432,0.4315614659847256,239.4832831133267,93.85119419627881,0.021324471611150975,0.007907531865530124,0.004451400991908987,0.006779785770198054
