20160909_r1,20160911_r1,20160912_r1
15706.58239,18712.20137,23450.32818
15684.22078,19846.44018,25563.74448
16881.11513,20034.4279,22508.3706
19841.35784,20062.68635,22294.27169
19404.24889,21420.67827,21885.51629
20710.16985,21556.44721,23803.76098
20159.39243,21250.72535,21873.7868
19760.63957,21380.13086,21983.04298
18796.01148,20417.76103,21650.36656
18978.97003,20581.54993,20986.86049
16621.20457,19429.11483,20844.86599
19533.64752,17565.19336,18114.11591
