date,username,operator,binding_energy,rbs,repressors,IPTG_uM,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20161223,sbarnes,Oid,-17,auto,0,0.0,3415.549280003463,0.0,0.0
20161223,sbarnes,Oid,-17,delta,0,0.0,25693.168391799125,22277.619111795662,1.0
20161223,sbarnes,Oid,-17,RBS1L,870,0.0,3239.1310663371733,-176.41821366628983,-0.00791907846080729
20161223,sbarnes,Oid,-17,RBS1,610,0.0,3196.223230972748,-219.32604903071524,-0.00984512967611451
20161223,sbarnes,Oid,-17,RBS1027,130,0.0,3231.6062955898037,-183.94298441365936,-0.008256851124466183
20161223,sbarnes,Oid,-17,RBS446,62,0.0,3242.3113446852512,-173.23793531821184,-0.007776321807498943
20161223,sbarnes,Oid,-17,RBS1147,30,0.0,3459.5679823664386,44.018702362975546,0.0019759159245014792
20161223,sbarnes,Oid,-17,auto,0,0.1,3353.5044440073657,0.0,0.0
20161223,sbarnes,Oid,-17,delta,0,0.1,26274.165576915508,22920.661132908142,1.0
20161223,sbarnes,Oid,-17,RBS1L,870,0.1,3205.2796337234654,-148.2248102839003,-0.006466864521245759
20161223,sbarnes,Oid,-17,RBS1,610,0.1,3164.83180704395,-188.6726369634157,-0.008231553002305443
20161223,sbarnes,Oid,-17,RBS1027,130,0.1,3205.406304809877,-148.09813919748876,-0.006461338018948246
20161223,sbarnes,Oid,-17,RBS446,62,0.1,3204.907057655938,-148.59738635142776,-0.006483119552693894
20161223,sbarnes,Oid,-17,RBS1147,30,0.1,3278.7095088971,-74.79493511026567,-0.0032632101961002987
20161223,sbarnes,Oid,-17,auto,0,5.0,3365.555865184723,0.0,0.0
20161223,sbarnes,Oid,-17,delta,0,5.0,23368.654466883112,20003.098601698388,1.0
20161223,sbarnes,Oid,-17,RBS1L,870,5.0,3251.571726805828,-113.9841383788953,-0.0056983240771115995
20161223,sbarnes,Oid,-17,RBS1,610,5.0,3173.418480521852,-192.13738466287123,-0.009605381070638604
20161223,sbarnes,Oid,-17,RBS1027,130,5.0,3160.7992861809853,-204.7565790037379,-0.010236243048182185
20161223,sbarnes,Oid,-17,RBS446,62,5.0,3232.273517723465,-133.28234746125827,-0.00666308506072863
