IPTG_uM,binding_energy,date,fold_change,operator,rbs,repressors,username
0.1,-17,20170104,0.010504102094221722,Oid,RBS446,62,gchure
5.0,-17,20170104,0.018295950370477085,Oid,RBS446,62,gchure
10.0,-17,20170104,0.007830148665477295,Oid,RBS446,62,gchure
25.0,-17,20170104,0.013864607898744143,Oid,RBS446,62,gchure
50.0,-17,20170104,0.059303025073994244,Oid,RBS446,62,gchure
75.0,-17,20170104,1.0947624605364705,Oid,RBS446,62,gchure
100.0,-17,20170104,0.04362794729649529,Oid,RBS446,62,gchure
250.0,-17,20170104,0.09644356832137031,Oid,RBS446,62,gchure
500.0,-17,20170104,0.16242917725110317,Oid,RBS446,62,gchure
1000.0,-17,20170104,0.2655542930141097,Oid,RBS446,62,gchure
5000.0,-17,20170104,0.2620673850146762,Oid,RBS446,62,gchure
