date,username,operator,binding_energy,rbs,repressors,IPTG_uM,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20160911,nbellive,Oid,-17.3,auto,0,0.0,3174.30526747,0.0,0.0
20160911,nbellive,Oid,-17.3,delta,0,0.0,21886.5066338,18712.2013663,1.0
20160911,nbellive,Oid,-17.3,RBS1L,870,0.0,3826.10838855,651.803121079,0.0348330540228
20160911,nbellive,Oid,-17.3,RBS1,610,0.0,3088.72123678,-85.5840306935,-0.0045737018867
20160911,nbellive,Oid,-17.3,RBS1027,130,0.0,3110.05156734,-64.2537001303,-0.00343378626985
20160911,nbellive,Oid,-17.3,RBS446,62,0.0,3124.93007119,-49.3751962812,-0.0026386631543
20160911,nbellive,Oid,-17.3,RBS1147,30,0.0,3112.59135561,-61.7139118597,-0.00329805727565
20160911,nbellive,Oid,-17.3,HG104,11,0.0,3211.37813508,37.0728676062,0.00198121358789
20160911,nbellive,Oid,-17.3,auto,0,0.1,3238.17859998,0.0,0.0
20160911,nbellive,Oid,-17.3,delta,0,0.1,23084.6187807,19846.4401807,1.0
20160911,nbellive,Oid,-17.3,RBS1L,870,0.1,3854.58803705,616.409437069,0.0310589421305
20160911,nbellive,Oid,-17.3,RBS1,610,0.1,3157.75508676,-80.4235132203,-0.00405228910011
20160911,nbellive,Oid,-17.3,RBS1027,130,0.1,3142.13391466,-96.0446853262,-0.00483939106719
20160911,nbellive,Oid,-17.3,RBS446,62,0.1,3228.19810814,-9.98049183957,-0.000502885744178
20160911,nbellive,Oid,-17.3,RBS1147,30,0.1,3151.35570397,-86.8228960095,-0.00437473396835
20160911,nbellive,Oid,-17.3,HG104,11,0.1,3248.15523236,9.97663237663,0.000502691277921
20160911,nbellive,Oid,-17.3,auto,0,5.0,3193.24878597,0.0,0.0
20160911,nbellive,Oid,-17.3,delta,0,5.0,23227.676687,20034.427901,1.0
20160911,nbellive,Oid,-17.3,RBS1L,870,5.0,4677.0947703,1483.84598433,0.0740648044285
20160911,nbellive,Oid,-17.3,RBS1,610,5.0,3146.17947166,-47.0693143063,-0.00234942143289
20160911,nbellive,Oid,-17.3,RBS1027,130,5.0,3092.32655305,-100.922232915,-0.00503744022107
20160911,nbellive,Oid,-17.3,RBS446,62,5.0,3157.68215391,-35.5666320558,-0.00177527565207
20160911,nbellive,Oid,-17.3,RBS1147,30,5.0,3217.9283076,24.6795216333,0.00123185557158
20160911,nbellive,Oid,-17.3,HG104,11,5.0,3480.73451961,287.485733642,0.0143495853768
20160911,nbellive,Oid,-17.3,auto,0,10.0,3159.5234393,0.0,0.0
20160911,nbellive,Oid,-17.3,delta,0,10.0,23222.2097884,20062.6863491,1.0
20160911,nbellive,Oid,-17.3,RBS1L,870,10.0,5478.69399462,2319.17055532,0.115596212539
20160911,nbellive,Oid,-17.3,RBS1,610,10.0,3074.4282857,-85.0951536029,-0.00424146358678
20160911,nbellive,Oid,-17.3,RBS1027,130,10.0,3075.3545984,-84.1688409055,-0.00419529266623
20160911,nbellive,Oid,-17.3,RBS446,62,10.0,3213.70097135,54.1775320494,0.00270041265195
20160911,nbellive,Oid,-17.3,RBS1147,30,10.0,3258.34144602,98.8180067166,0.00492546237313
20160911,nbellive,Oid,-17.3,HG104,11,10.0,3751.32149852,591.798059215,0.0294974485927
20160911,nbellive,Oid,-17.3,auto,0,25.0,3151.83444535,0.0,0.0
20160911,nbellive,Oid,-17.3,delta,0,25.0,24572.5127201,21420.6782748,1.0
20160911,nbellive,Oid,-17.3,RBS1L,870,25.0,6586.11845464,3434.2840093,0.160325642599
20160911,nbellive,Oid,-17.3,RBS1,610,25.0,3137.85624165,-13.9782036942,-0.000652556539757
20160911,nbellive,Oid,-17.3,RBS1027,130,25.0,3256.22005818,104.385612838,0.00487312360042
20160911,nbellive,Oid,-17.3,RBS446,62,25.0,3353.45995699,201.625511641,0.00941265766915
20160911,nbellive,Oid,-17.3,RBS1147,30,25.0,3502.35919487,350.524749522,0.016363849222
20160911,nbellive,Oid,-17.3,HG104,11,25.0,4698.30412307,1546.46967773,0.0721951778507
20160911,nbellive,Oid,-17.3,auto,0,50.0,3122.52068424,0.0,0.0
20160911,nbellive,Oid,-17.3,delta,0,50.0,24678.967892,21556.4472077,1.0
20160911,nbellive,Oid,-17.3,RBS1L,870,50.0,7277.43499831,4154.91431406,0.19274578385
20160911,nbellive,Oid,-17.3,RBS1,610,50.0,3268.86421156,146.34352732,0.00678885188778
20160911,nbellive,Oid,-17.3,RBS1027,130,50.0,3454.31765323,331.796968991,0.0153920061963
20160911,nbellive,Oid,-17.3,RBS446,62,50.0,3734.73499033,612.214306086,0.028400519816
20160911,nbellive,Oid,-17.3,RBS1147,30,50.0,4059.63551939,937.114835145,0.0434726013111
20160911,nbellive,Oid,-17.3,HG104,11,50.0,6408.18999476,3285.66931051,0.152421652736
20160911,nbellive,Oid,-17.3,auto,0,75.0,3136.05729717,0.0,0.0
20160911,nbellive,Oid,-17.3,delta,0,75.0,24386.7826511,21250.7253539,1.0
20160911,nbellive,Oid,-17.3,RBS1L,870,75.0,7362.53818593,4226.48088876,0.198886429445
20160911,nbellive,Oid,-17.3,RBS1,610,75.0,3441.43575166,305.37845449,0.0143702602807
20160911,nbellive,Oid,-17.3,RBS1027,130,75.0,3704.10992543,568.052628255,0.0267309759452
20160911,nbellive,Oid,-17.3,RBS446,62,75.0,4036.49065003,900.43335286,0.0423718879174
20160911,nbellive,Oid,-17.3,RBS1147,30,75.0,4579.04013684,1442.98283967,0.0679027569948
20160911,nbellive,Oid,-17.3,HG104,11,75.0,7834.6997483,4698.64245113,0.221105038669
20160911,nbellive,Oid,-17.3,auto,0,100.0,3131.70010612,0.0,0.0
20160911,nbellive,Oid,-17.3,delta,0,100.0,24511.8309623,21380.1308562,1.0
20160911,nbellive,Oid,-17.3,RBS1L,870,100.0,8037.88442233,4906.18431621,0.229474007863
20160911,nbellive,Oid,-17.3,RBS1,610,100.0,3431.59510827,299.89500215,0.0140268085433
20160911,nbellive,Oid,-17.3,RBS1027,130,100.0,3838.50457432,706.804468195,0.0330589402351
20160911,nbellive,Oid,-17.3,RBS446,62,100.0,4360.16842258,1228.46831645,0.0574584096194
20160911,nbellive,Oid,-17.3,RBS1147,30,100.0,5067.95651533,1936.25640921,0.0905633563346
20160911,nbellive,Oid,-17.3,HG104,11,100.0,9184.47873946,6052.77863334,0.28310297416
20160911,nbellive,Oid,-17.3,auto,0,250.0,3159.13512906,0.0,0.0
20160911,nbellive,Oid,-17.3,delta,0,250.0,23576.8961579,20417.7610288,1.0
20160911,nbellive,Oid,-17.3,RBS1L,870,250.0,8616.19942769,5457.06429862,0.2672704559
20160911,nbellive,Oid,-17.3,RBS1,610,250.0,3748.48128782,589.34615876,0.0288643871348
20160911,nbellive,Oid,-17.3,RBS1027,130,250.0,4588.74169714,1429.60656808,0.0700177931393
20160911,nbellive,Oid,-17.3,RBS446,62,250.0,5621.63730717,2462.50217811,0.120605886935
20160911,nbellive,Oid,-17.3,RBS1147,30,250.0,6938.64150061,3779.50637155,0.185108757332
20160911,nbellive,Oid,-17.3,HG104,11,250.0,13086.097363,9926.96223397,0.486192497795
20160911,nbellive,Oid,-17.3,auto,0,500.0,3167.19785953,0.0,0.0
20160911,nbellive,Oid,-17.3,delta,0,500.0,23748.747791,20581.5499315,1.0
20160911,nbellive,Oid,-17.3,RBS1L,870,500.0,8090.61023291,4923.41237338,0.239214849696
20160911,nbellive,Oid,-17.3,RBS1,610,500.0,4016.79398472,849.596125187,0.0412795016903
20160911,nbellive,Oid,-17.3,RBS1027,130,500.0,5095.97528241,1928.77742288,0.093713905381
20160911,nbellive,Oid,-17.3,RBS446,62,500.0,6527.17949069,3359.98163116,0.163252118637
20160911,nbellive,Oid,-17.3,RBS1147,30,500.0,8118.77735478,4951.57949525,0.24058341144
20160911,nbellive,Oid,-17.3,HG104,11,500.0,14551.4813032,11384.2834437,0.553130521346
20160911,nbellive,Oid,-17.3,auto,0,1000.0,3161.83030152,0.0,0.0
20160911,nbellive,Oid,-17.3,delta,0,1000.0,22590.9451319,19429.1148303,1.0
20160911,nbellive,Oid,-17.3,RBS1L,870,1000.0,7812.5658758,4650.73557427,0.239369400762
20160911,nbellive,Oid,-17.3,RBS1,610,1000.0,4120.09759276,958.267291232,0.0493212016914
20160911,nbellive,Oid,-17.3,RBS1027,130,1000.0,5417.22210288,2255.39180135,0.116083095964
20160911,nbellive,Oid,-17.3,RBS446,62,1000.0,7100.84674286,3939.01644134,0.202737822888
20160911,nbellive,Oid,-17.3,RBS1147,30,1000.0,8819.79401878,5657.96371726,0.291210575812
20160911,nbellive,Oid,-17.3,HG104,11,1000.0,15836.9574652,12675.1271637,0.652378004574
20160911,nbellive,Oid,-17.3,auto,0,5000.0,3092.6805455,0.0,0.0
20160911,nbellive,Oid,-17.3,delta,0,5000.0,20657.8739067,17565.1933612,1.0
20160911,nbellive,Oid,-17.3,RBS1L,870,5000.0,7984.4312703,4891.7507248,0.278491140074
20160911,nbellive,Oid,-17.3,RBS1,610,5000.0,3999.76338966,907.082844162,0.0516409256367
20160911,nbellive,Oid,-17.3,RBS1027,130,5000.0,5456.90206722,2364.22152172,0.134596953936
20160911,nbellive,Oid,-17.3,RBS446,62,5000.0,7154.97820749,4062.29766199,0.231269737739
20160911,nbellive,Oid,-17.3,RBS1147,30,5000.0,9084.70307661,5992.02253111,0.341130462266
20160911,nbellive,Oid,-17.3,HG104,11,5000.0,15197.9051536,12105.2246081,0.689159769501
