date,username,operator,binding_energy,rbs,repressors,IPTG_uM,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20160829,nbellive,O3,-9.7,auto,0,0.0,3214.08079918,0.0,0.0
20160829,nbellive,O3,-9.7,delta,0,0.0,29752.7278447,26538.6470455,1.0
20160829,nbellive,O3,-9.7,RBS1L,870,0.0,9052.73795886,5838.65715967,0.220005833367
20160829,nbellive,O3,-9.7,RBS1,610,0.0,10354.4720189,7140.39121973,0.269056339138
20160829,nbellive,O3,-9.7,RBS1027,130,0.0,20450.0487022,17235.967903,0.649466714467
20160829,nbellive,O3,-9.7,RBS446,62,0.0,29551.3055031,26337.224704,0.992410225692
20160829,nbellive,O3,-9.7,RBS1147,30,0.0,32894.6248501,29680.544051,1.11838949439
20160829,nbellive,O3,-9.7,HG104,11,0.0,35453.2035488,32239.1227496,1.21479903231
20160829,nbellive,O3,-9.7,auto,0,0.1,3265.45313037,0.0,0.0
20160829,nbellive,O3,-9.7,delta,0,0.1,29239.3149599,25973.8618296,1.0
20160829,nbellive,O3,-9.7,RBS1L,870,0.1,8660.3011593,5394.84802892,0.207702961705
20160829,nbellive,O3,-9.7,RBS1,610,0.1,10191.4236746,6925.9705442,0.266651551073
20160829,nbellive,O3,-9.7,RBS1027,130,0.1,18783.4157501,15517.9626198,0.597445336454
20160829,nbellive,O3,-9.7,RBS446,62,0.1,26541.0865621,23275.6334317,0.896117550191
20160829,nbellive,O3,-9.7,RBS1147,30,0.1,29107.391498,25841.9383677,0.994920914619
20160829,nbellive,O3,-9.7,HG104,11,0.1,29505.4909422,26240.0378119,1.01024784008
20160829,nbellive,O3,-9.7,auto,0,5.0,3166.16433447,0.0,0.0
20160829,nbellive,O3,-9.7,delta,0,5.0,29281.8691102,26115.7047758,1.0
20160829,nbellive,O3,-9.7,RBS1L,870,5.0,16113.1504904,12946.9861559,0.495754806047
20160829,nbellive,O3,-9.7,RBS1,610,5.0,17763.273614,14597.1092795,0.558939894783
20160829,nbellive,O3,-9.7,RBS1027,130,5.0,27838.734152,24672.5698176,0.944740723232
20160829,nbellive,O3,-9.7,RBS446,62,5.0,31463.4161346,28297.2518002,1.08353391353
20160829,nbellive,O3,-9.7,RBS1147,30,5.0,32251.9425308,29085.7781963,1.1137274849
20160829,nbellive,O3,-9.7,HG104,11,5.0,33323.7751695,30157.610835,1.1547691741
20160829,nbellive,O3,-9.7,auto,0,10.0,3171.55906702,0.0,0.0
20160829,nbellive,O3,-9.7,delta,0,10.0,29581.4302021,26409.8711351,1.0
20160829,nbellive,O3,-9.7,RBS1L,870,10.0,20345.1838598,17173.6247928,0.650272949268
20160829,nbellive,O3,-9.7,RBS1,610,10.0,21441.9635825,18270.4045155,0.691802107706
20160829,nbellive,O3,-9.7,RBS1027,130,10.0,29863.2164296,26691.6573626,1.01066973125
20160829,nbellive,O3,-9.7,RBS446,62,10.0,32706.5576785,29534.9986115,1.11833179573
20160829,nbellive,O3,-9.7,RBS1147,30,10.0,32884.2939864,29712.7349194,1.12506171527
20160829,nbellive,O3,-9.7,HG104,11,10.0,34434.628921,31263.0698539,1.18376457401
20160829,nbellive,O3,-9.7,auto,0,25.0,3164.10616352,0.0,0.0
20160829,nbellive,O3,-9.7,delta,0,25.0,30677.0697951,27512.9636316,1.0
20160829,nbellive,O3,-9.7,RBS1L,870,25.0,30460.5283373,27296.4221738,0.992129475374
20160829,nbellive,O3,-9.7,RBS1,610,25.0,30794.6431409,27630.5369774,1.0042733799
20160829,nbellive,O3,-9.7,RBS1027,130,25.0,33477.4128407,30313.3066772,1.10178267536
20160829,nbellive,O3,-9.7,RBS446,62,25.0,34161.6295948,30997.5234313,1.12665156129
20160829,nbellive,O3,-9.7,RBS1147,30,25.0,34937.3483615,31773.242198,1.15484622535
20160829,nbellive,O3,-9.7,HG104,11,25.0,36237.8351281,33073.7289646,1.20211437079
20160829,nbellive,O3,-9.7,auto,0,50.0,3216.68536642,0.0,0.0
