date,username,operator,binding_energy,rbs,repressors,IPTG,replica,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20160727,mrazomej,O1,-15.3,auto,0,0,00,3414.3929384128974,0.0,0.0
20160727,mrazomej,O1,-15.3,auto,0,0,01,3150.6486051768616,0.0,0.0
20160727,mrazomej,O1,-15.3,auto,0,0,02,3087.478324387167,0.0,0.0
20160727,mrazomej,O1,-15.3,delta,0,0,00,10281.23335014617,6866.840411733274,1.0
20160727,mrazomej,O1,-15.3,delta,0,0,01,9156.753629640167,6006.105024463305,1.0
20160727,mrazomej,O1,-15.3,delta,0,0,02,8808.466466855834,5720.988142468667,1.0
20160727,mrazomej,O1,-15.3,RBS1L,870,0,00,3311.176411045421,-103.21652736747637,-0.015031152783325464
20160727,mrazomej,O1,-15.3,RBS1L,870,0,01,3141.8147507588587,-8.83385441800283,-0.0014708125119394172
20160727,mrazomej,O1,-15.3,RBS1L,870,0,02,3116.1845248258946,28.706200438727592,0.005017699691707552
20160727,mrazomej,O1,-15.3,RBS1,610,0,00,3268.1912568176,-146.2016815952975,-0.0212909683098918
20160727,mrazomej,O1,-15.3,RBS1,610,0,01,3131.4530809385574,-19.195524238304188,-0.0031960020945553586
20160727,mrazomej,O1,-15.3,RBS1,610,0,02,3140.3877390898533,52.90941470268626,0.009248300011308061
20160727,mrazomej,O1,-15.3,RBS1027,130,0,00,3282.916547492844,-131.4763909200533,-0.01914656276202392
20160727,mrazomej,O1,-15.3,RBS1027,130,0,01,3187.7737628189916,37.125157642130034,0.00618123684000139
20160727,mrazomej,O1,-15.3,RBS1027,130,0,02,3176.5032704141895,89.02494602702245,0.0155611135366918
20160727,mrazomej,O1,-15.3,RBS446,62,0,00,3357.724558211387,-56.668380201510445,-0.008252467918823624
20160727,mrazomej,O1,-15.3,RBS446,62,0,01,3166.3060634240865,15.657458247224895,0.002606923818922733
20160727,mrazomej,O1,-15.3,RBS446,62,0,02,3180.259861812733,92.78153742556606,0.01621774684985273
20160727,mrazomej,O1,-15.3,RBS1147,30,0,00,3414.6070318382654,0.21409342536799159,3.11778652962683e-05
20160727,mrazomej,O1,-15.3,RBS1147,30,0,01,3258.312480613649,107.6638754367873,0.017925739726205994
20160727,mrazomej,O1,-15.3,RBS1147,30,0,02,3260.9710448896053,173.49272050243826,0.030325656369491145
20160727,mrazomej,O1,-15.3,HG104,11,0,00,3749.9341450382267,335.5412066253293,0.04886398787599531
20160727,mrazomej,O1,-15.3,HG104,11,0,01,3507.255727389513,356.6071222126516,0.05937410697284924
20160727,mrazomej,O1,-15.3,HG104,11,0,02,3474.2418608789308,386.7635364917637,0.06760432408882273
20160727,mrazomej,O2,-13.9,auto,0,0,00,3235.2080881742368,0.0,0.0
20160727,mrazomej,O2,-13.9,auto,0,0,01,3094.161328139242,0.0,0.0
20160727,mrazomej,O2,-13.9,auto,0,0,02,3105.7336960883245,0.0,0.0
20160727,mrazomej,O2,-13.9,delta,0,0,00,14142.841142112426,10907.633053938189,1.0
20160727,mrazomej,O2,-13.9,delta,0,0,01,13361.093339198484,10266.932011059242,1.0
20160727,mrazomej,O2,-13.9,delta,0,0,02,12587.930737449147,9482.197041360823,1.0
20160727,mrazomej,O2,-13.9,RBS1L,870,0,00,3333.1971428735233,97.9890546992865,0.008983530543678096
20160727,mrazomej,O2,-13.9,RBS1L,870,0,01,3199.0204817470917,104.85915360784975,0.010213289957983408
20160727,mrazomej,O2,-13.9,RBS1L,870,0,02,3194.444188231198,88.71049214287359,0.009355478667646674
20160727,mrazomej,O2,-13.9,RBS1,610,0,00,3286.290283133344,51.082194959107255,0.004683160380121523
20160727,mrazomej,O2,-13.9,RBS1,610,0,01,3251.7411965157557,157.5798683765138,0.01534829179805353
20160727,mrazomej,O2,-13.9,RBS1,610,0,02,3257.6257725495525,151.89207646122804,0.016018658523829776
20160727,mrazomej,O2,-13.9,RBS1027,130,0,00,3361.3828286551447,126.17474048090799,0.011567563728718646
20160727,mrazomej,O2,-13.9,RBS1027,130,0,01,3335.6987399263344,241.53741178709242,0.02352576324912986
20160727,mrazomej,O2,-13.9,RBS1027,130,0,02,3274.8581735503517,169.12447746202724,0.01783600116347673
20160727,mrazomej,O2,-13.9,RBS446,62,0,00,3574.1466697641695,338.9385815899327,0.031073522542781114
20160727,mrazomej,O2,-13.9,RBS446,62,0,01,3506.5994314410536,412.4381033018117,0.040171504287507244
20160727,mrazomej,O2,-13.9,RBS446,62,0,02,3420.5947021891884,314.86100610086396,0.03320549074517831
20160727,mrazomej,O2,-13.9,RBS1147,30,0,00,3767.6881356166477,532.480047442411,0.04881719478545894
20160727,mrazomej,O2,-13.9,RBS1147,30,0,01,3656.1486899290335,561.9873617897915,0.054737614039367846
20160727,mrazomej,O2,-13.9,RBS1147,30,0,02,3633.6833983596102,527.9497022712858,0.055677993187485786
20160727,mrazomej,O2,-13.9,HG104,11,0,00,5293.834257669426,2058.626169495189,0.18873262047919043
20160727,mrazomej,O2,-13.9,HG104,11,0,01,5184.40051298653,2090.239184847288,0.20358946397967212
20160727,mrazomej,O2,-13.9,HG104,11,0,02,5006.541413782022,1900.8077176936972,0.2004606853667434
20160727,mrazomej,O3,-9.7,auto,0,0,00,3243.5102827728488,0.0,0.0
20160727,mrazomej,O3,-9.7,auto,0,0,01,3172.3642633938043,0.0,0.0
20160727,mrazomej,O3,-9.7,auto,0,0,02,3095.9430707232523,0.0,0.0
20160727,mrazomej,O3,-9.7,delta,0,0,00,24789.154777965785,21545.644495192937,1.0
20160727,mrazomej,O3,-9.7,delta,0,0,01,24457.797699472358,21285.433436078554,1.0
20160727,mrazomej,O3,-9.7,delta,0,0,02,21592.18275779584,18496.239687072586,1.0
20160727,mrazomej,O3,-9.7,RBS1L,870,0,00,7373.716620238284,4130.206337465435,0.19169565052402718
20160727,mrazomej,O3,-9.7,RBS1L,870,0,01,7208.553381702679,4036.1891183088746,0.1896221249348666
20160727,mrazomej,O3,-9.7,RBS1L,870,0,02,6579.01319948619,3483.070128762938,0.18831233740971304
20160727,mrazomej,O3,-9.7,RBS1,610,0,00,8547.157765349464,5303.647482576615,0.24615868342949387
20160727,mrazomej,O3,-9.7,RBS1,610,0,01,8251.841543871451,5079.477280477647,0.23863630946166187
20160727,mrazomej,O3,-9.7,RBS1,610,0,02,7560.678043280678,4464.734972557426,0.24138608971843742
20160727,mrazomej,O3,-9.7,RBS1027,130,0,00,18340.89422385967,15097.38394108682,0.7007162837229217
20160727,mrazomej,O3,-9.7,RBS1027,130,0,01,17762.590800800004,14590.2265374062,0.6854559284038794
20160727,mrazomej,O3,-9.7,RBS1027,130,0,02,15242.016629851092,12146.073559127839,0.6566779931824189
20160727,mrazomej,O3,-9.7,RBS446,62,0,00,21787.74053247345,18544.230249700602,0.8606950817293034
20160727,mrazomej,O3,-9.7,RBS446,62,0,01,20912.49996248115,17740.135699087346,0.8334401905585831
20160727,mrazomej,O3,-9.7,RBS446,62,0,02,18648.529132593838,15552.586061870585,0.8408512392246201
20160727,mrazomej,O3,-9.7,RBS1147,30,0,00,23813.820883229444,20570.310600456596,0.9547317373145209
20160727,mrazomej,O3,-9.7,RBS1147,30,0,01,22978.173644485458,19805.809381091654,0.9304865433240859
20160727,mrazomej,O3,-9.7,RBS1147,30,0,02,20263.66363415031,17167.720563427058,0.9281735560242519
20160727,mrazomej,O3,-9.7,HG104,11,0,00,25700.07378390828,22456.56350113543,1.042278568466389
20160727,mrazomej,O3,-9.7,HG104,11,0,01,24544.844964791435,21372.48070139763,1.004089522798795
20160727,mrazomej,O3,-9.7,HG104,11,0,02,21372.78017211366,18276.837101390407,0.9881379896998457
20160727,mrazomej,Oid,-17.0,auto,0,0,00,3122.2911600555235,0.0,0.0
20160727,mrazomej,Oid,-17.0,auto,0,0,01,3130.086241056298,0.0,0.0
20160727,mrazomej,Oid,-17.0,auto,0,0,02,3161.861103974053,0.0,0.0
20160727,mrazomej,Oid,-17.0,delta,0,0,00,14839.525486431829,11717.234326376305,1.0
20160727,mrazomej,Oid,-17.0,delta,0,0,01,14578.699742146335,11448.613501090036,1.0
20160727,mrazomej,Oid,-17.0,delta,0,0,02,12534.399674657352,9372.538570683299,1.0
20160727,mrazomej,Oid,-17.0,RBS1L,870,0,00,3137.402843557635,15.111683502111646,0.0012896971316937991
20160727,mrazomej,Oid,-17.0,RBS1L,870,0,01,3169.311061134942,39.224820078643916,0.0034261633581139997
20160727,mrazomej,Oid,-17.0,RBS1L,870,0,02,3089.8465892626423,-72.01451471141081,-0.007683565574930533
20160727,mrazomej,Oid,-17.0,RBS1,610,0,00,3144.786742500804,22.495582445280434,0.0019198713466574038
20160727,mrazomej,Oid,-17.0,RBS1,610,0,01,3197.9374725902644,67.85123153396626,0.005926589409932134
20160727,mrazomej,Oid,-17.0,RBS1,610,0,02,3113.996351864129,-47.86475210992421,-0.005106914391330658
20160727,mrazomej,Oid,-17.0,RBS1027,130,0,00,3156.4406170171233,34.14945696159975,0.002914463943485961
20160727,mrazomej,Oid,-17.0,RBS1027,130,0,01,3098.8545793037943,-31.231661752503896,-0.002727986384511128
20160727,mrazomej,Oid,-17.0,RBS1027,130,0,02,3081.736485519807,-80.12461845424605,-0.008548870495435542
20160727,mrazomej,Oid,-17.0,RBS446,62,0,00,3220.1025998522646,97.81143979674107,0.008347655860782843
20160727,mrazomej,Oid,-17.0,RBS446,62,0,01,3151.995429179217,21.90918812291875,0.001913697944369661
20160727,mrazomej,Oid,-17.0,RBS446,62,0,02,3121.1402331569648,-40.720870817088326,-0.004344700265567389
20160727,mrazomej,Oid,-17.0,RBS1147,30,0,00,3202.8664922354646,80.57533217994114,0.006876651088095123
20160727,mrazomej,Oid,-17.0,RBS1147,30,0,01,3158.98397781333,28.897736757031907,0.002524125454517311
20160727,mrazomej,Oid,-17.0,RBS1147,30,0,02,3131.2282131294137,-30.632890844639405,-0.003268366474421042
20160727,mrazomej,Oid,-17.0,HG104,11,0,00,3317.992049494022,195.7008894384985,0.01670196942276406
20160727,mrazomej,Oid,-17.0,HG104,11,0,01,3251.5382114282056,121.45197037190746,0.010608443577935781
20160727,mrazomej,Oid,-17.0,HG104,11,0,02,3199.915883704789,38.054779730735845,0.004060242531278427
