# Date : 2017-10-03
# Equipment : Björkman MACSQuant
# User : gchure
# Description :
# Timecourse measurement of expression to determine if we are in steady-state.
# Auto (HG104), O2 Delta (O2 HG105), and O2 RBS1027 cells were diluted 1:1000
# into M9 + 0.5% glucose + 50µM IPTG in a large 2mL 96 well plate and allowed t
# to grow for several hours with measurement on the MACSQuant. The dilution was
# performed at 08h30m and the first measurement was made at 14h38m, followed
# by a measurement each hour afterward. 
date,username,operator,strain,repressors,IPTG_uM,replicate_no,clock_time,delta_t,FITC-A,fold_change_A
20171003,gchure,O2,delta,0,50.0,2,18h34m,10.07,20295.132836085766,1.0
20171003,gchure,O2,auto,0,50.0,2,18h34m,10.07,3208.671324463253,0.0
20171003,gchure,O2,RBS1027,130,50.0,2,18h34m,10.07,8520.541505472302,0.3108818158397407
20171003,gchure,O2,RBS1027,130,50.0,3,18h34m,10.07,8465.73116480734,0.32359747311745657
20171003,gchure,O2,auto,0,50.0,3,18h34m,10.07,3153.91546400669,0.0
20171003,gchure,O2,delta,0,50.0,3,18h34m,10.07,19568.801679365402,1.0
20171003,gchure,O2,delta,0,50.0,1,19h26m,10.93,18825.352216387273,1.0
20171003,gchure,O2,RBS1027,130,50.0,1,19h26m,10.93,7899.231816013041,0.304288042930655
20171003,gchure,O2,auto,0,50.0,1,19h26m,10.93,3120.4037972167625,0.0
20171003,gchure,O2,RBS1027,130,50.0,2,19h26m,10.93,7716.43830594047,0.3216035631874295
20171003,gchure,O2,auto,0,50.0,2,19h26m,10.93,3092.875841438309,0.0
20171003,gchure,O2,delta,0,50.0,2,19h26m,10.93,17469.465511894054,1.0
20171003,gchure,O2,delta,0,50.0,3,19h26m,10.93,17887.088552125995,1.0
20171003,gchure,O2,auto,0,50.0,3,19h26m,10.93,3126.8875193476165,0.0
20171003,gchure,O2,RBS1027,130,50.0,3,19h26m,10.93,7722.781810599825,0.3113707110794752
20171003,gchure,O2,delta,0,50.0,1,20h32m,12.03,15666.424425039217,1.0
20171003,gchure,O2,auto,0,50.0,1,20h32m,12.03,3120.810967766345,0.0
20171003,gchure,O2,RBS1027,130,50.0,1,20h32m,12.03,7329.568242184528,0.3354764028679925
20171003,gchure,O2,auto,0,50.0,2,20h32m,12.03,3158.248495916873,0.0
20171003,gchure,O2,RBS1027,130,50.0,2,20h32m,12.03,7183.849132234161,0.3283741743980414
20171003,gchure,O2,delta,0,50.0,2,20h32m,12.03,15417.436185377564,1.0
20171003,gchure,O2,delta,0,50.0,3,20h32m,12.03,15104.505881270137,1.0
20171003,gchure,O2,RBS1027,130,50.0,3,20h32m,12.03,6911.1799944658205,0.31878770213787744
20171003,gchure,O2,auto,0,50.0,3,20h32m,12.03,3076.939860342771,0.0
20171003,gchure,O2,RBS1027,130,50.0,1,14h30m,6.00,8578.353748892669,0.2661445079353859
20171003,gchure,O2,auto,0,50.0,1,14h30m,6.00,3311.3625382995556,0.0
20171003,gchure,O2,delta,0,50.0,1,14h30m,6.00,23101.33021958578,1.0
20171003,gchure,O2,delta,0,50.0,2,14h30m,6.00,23664.889113194073,1.0
20171003,gchure,O2,auto,0,50.0,2,14h30m,6.00,3302.939134802626,0.0
20171003,gchure,O2,RBS1027,130,50.0,2,14h30m,6.00,9446.174735636101,0.30170173325014615
20171003,gchure,O2,delta,0,50.0,3,14h30m,6.00,23064.376808879795,1.0
20171003,gchure,O2,RBS1027,130,50.0,3,14h30m,6.00,9684.123769058473,0.3208060191050299
20171003,gchure,O2,auto,0,50.0,3,14h30m,6.00,3364.1830259634053,0.0
20171003,gchure,O2,auto,0,50.0,1,15h30m,7.00,3235.0643770108277,0.0
20171003,gchure,O2,RBS1027,130,50.0,1,15h30m,7.00,10115.772877008669,0.3008037080220727
20171003,gchure,O2,delta,0,50.0,1,15h30m,7.00,26109.478210675876,1.0
20171003,gchure,O2,delta,0,50.0,2,15h30m,7.00,26598.441392050845,1.0
20171003,gchure,O2,RBS1027,130,50.0,2,15h30m,7.00,10429.065366124465,0.3045891464636028
20171003,gchure,O2,auto,0,50.0,2,15h30m,7.00,3346.897439724411,0.0
20171003,gchure,O2,delta,0,50.0,3,15h30m,7.00,26565.119606260272,1.0
20171003,gchure,O2,auto,0,50.0,3,15h30m,7.00,3391.417624230632,0.0
20171003,gchure,O2,RBS1027,130,50.0,3,15h30m,7.00,10733.718846935048,0.316837647623073
20171003,gchure,O2,RBS1027,130,50.0,1,16h30m,8.00,10089.873334901986,0.350590270053645
20171003,gchure,O2,auto,0,50.0,1,16h30m,8.00,3090.6997394712885,0.0
20171003,gchure,O2,delta,0,50.0,1,16h30m,8.00,23054.669630477474,1.0
20171003,gchure,O2,delta,0,50.0,2,16h30m,8.00,23214.08657859535,1.0
20171003,gchure,O2,auto,0,50.0,2,16h30m,8.00,3158.447649579826,0.0
20171003,gchure,O2,RBS1027,130,50.0,2,16h30m,8.00,10069.283536592457,0.3445831823893862
