IPTG_uM,binding_energy,date,fold_change,operator,rbs,repressors,username
0.0,-17,20161214,0.0009180102758479494,Oid,RBS446,62,gchure
0.1,-17,20161214,0.0006230973343489636,Oid,RBS446,62,gchure
5.0,-17,20161214,0.021060382284800984,Oid,RBS446,62,gchure
10.0,-17,20161214,0.011134443672116289,Oid,RBS446,62,gchure
25.0,-17,20161214,0.03649791151402542,Oid,RBS446,62,gchure
50.0,-17,20161214,0.038354378174909214,Oid,RBS446,62,gchure
75.0,-17,20161214,0.05440381783243455,Oid,RBS446,62,gchure
100.0,-17,20161214,0.12597158862350924,Oid,RBS446,62,gchure
250.0,-17,20161214,0.25268541424034846,Oid,RBS446,62,gchure
500.0,-17,20161214,0.26856833238311356,Oid,RBS446,62,gchure
1000.0,-17,20161214,0.36731310235833065,Oid,RBS446,62,gchure
5000.0,-17,20161214,0.3746598417002396,Oid,RBS446,62,gchure
