method,mode,hpd_max,hpd_min
microscopy,-15.303370563706592,-15.370268664229592,-15.241284538013028
microscopy,-13.893815575147574,-13.958449997651378,-13.830634779796636
microscopy,129.69895799405512,125.44216461432168,134.6352392356382
microscopy,-4.947993161338605,-5.22532549468314,-4.694638233970272
microscopy,0.48885512152255417,0.31719346310521435,0.650988774104089
microscopy,,137.87460940870344,144.09357765994517
microscopy,0.08126564782124147,0.07066078611152946,0.09892074699264577
flow,-15.316827908457196,-15.351277055263779,-15.286034393649972
flow,-13.881005810291468,-13.912179086197138,-13.846374654600007
flow,129.83842989657182,127.52802747461256,132.42185187632842
flow,-5.024833469879318,-5.118371696604389,-4.937212769369968
flow,0.5448455365809755,0.49144457806745967,0.6001949597635079
flow,,627.4233977578474,633.5426239523765
flow,0.05381321778779012,0.04956859673827703,0.05894438973185639
